sim,population,hospitals,mobilehomes,psubstations,tors
1,352,0,0,0,1.0
2,0,0,0,0,0.0
3,32,0,0,0,1.0
4,0,0,0,0,0.0
5,1504,1,0,1,3.0
6,432,1,25,2,4.0
7,928,0,0,3,3.0
8,176,0,0,0,2.0
9,2960,0,25,1,5.0
10,336,0,0,0,1.0
11,2992,0,75,3,4.0
12,352,0,0,0,2.0
13,0,0,0,0,0.0
14,10672,0,0,9,2.0
15,19744,0,0,7,3.0
16,2480,0,0,2,2.0
17,32,0,0,0,1.0
18,0,0,0,0,0.0
19,0,0,0,0,0.0
20,28992,1,0,5,3.0
21,864,0,0,0,3.0
22,608,0,0,1,1.0
23,32,0,0,0,1.0
24,1184,0,0,0,1.0
25,3392,0,125,5,8.0
26,3056,0,0,2,5.0
27,4800,0,25,2,3.0
28,0,0,0,0,0.0
29,560,0,0,2,2.0
30,3456,0,0,1,2.0
31,0,0,0,0,0.0
32,624,0,0,0,3.0
33,1072,0,25,1,3.0
34,1264,0,125,2,4.0
35,0,0,0,0,0.0
36,1376,1,50,3,2.0
37,2208,0,250,0,2.0
38,1760,0,0,0,3.0
39,3536,0,25,0,1.0
40,1856,0,0,1,4.0
41,1008,0,25,0,3.0
42,688,0,0,0,2.0
43,3536,0,25,0,2.0
44,5504,0,25,0,4.0
45,976,1,25,1,1.0
46,304,1,75,2,2.0
47,2576,0,0,0,1.0
48,2400,0,0,2,4.0
49,16560,3,125,1,4.0
50,0,0,0,0,0.0
51,45504,2,25,0,1.0
52,864,0,0,2,2.0
53,8304,2,325,4,5.0
54,224,1,75,2,2.0
55,1552,0,0,2,2.0
56,3584,0,50,2,4.0
57,928,0,0,0,4.0
58,0,0,0,0,0.0
59,1120,0,0,0,2.0
60,2752,0,0,0,5.0
61,688,0,0,0,1.0
62,7424,0,0,3,6.0
63,368,0,25,0,2.0
64,336,0,0,0,2.0
65,26256,0,0,3,7.0
66,576,0,0,0,2.0
67,0,0,0,0,1.0
68,2832,0,0,1,5.0
69,272,0,0,0,1.0
70,0,0,0,0,0.0
71,3376,0,0,1,2.0
72,7952,1,75,4,2.0
73,80,0,0,0,1.0
74,880,0,0,0,4.0
75,864,0,0,0,4.0
76,768,0,0,0,1.0
77,1152,1,25,3,2.0
78,816,0,0,2,2.0
79,0,0,0,0,0.0
80,2400,0,0,1,3.0
81,4336,0,0,0,2.0
82,1040,0,75,0,3.0
83,672,0,0,3,3.0
84,0,0,0,0,0.0
85,17648,0,75,2,4.0
86,27024,1,100,3,4.0
87,12624,0,125,4,14.0
88,37840,3,125,4,2.0
89,864,0,0,0,2.0
90,5888,0,25,1,4.0
91,2512,0,25,0,1.0
92,11792,0,0,1,2.0
93,288,0,0,0,1.0
94,176,0,0,0,2.0
95,20160,2,50,1,2.0
96,16,0,0,0,1.0
97,3248,0,0,0,2.0
98,4960,0,100,0,5.0
99,1504,0,0,0,2.0
100,33680,0,150,2,3.0
101,1424,0,25,0,1.0
102,64,0,25,0,3.0
103,5408,0,0,1,4.0
104,784,0,0,2,4.0
105,976,0,0,1,3.0
106,41792,0,25,5,6.0
107,16,0,0,0,1.0
108,2784,0,0,0,1.0
109,10464,1,225,4,6.0
110,0,0,0,0,0.0
111,6656,0,0,1,3.0
112,1152,0,0,0,3.0
113,48,0,0,0,1.0
114,112,0,0,0,1.0
115,8640,0,125,4,3.0
116,608,0,0,0,2.0
117,160,0,0,0,1.0
118,624,0,0,0,2.0
119,0,0,0,0,0.0
120,3024,0,0,0,2.0
121,32,0,0,0,1.0
122,10752,0,0,0,2.0
123,0,0,0,0,0.0
124,0,0,0,0,0.0
125,6368,1,200,5,4.0
126,0,0,0,0,0.0
127,48,0,0,0,2.0
128,7968,0,0,1,2.0
129,23808,0,125,3,5.0
130,896,0,0,1,2.0
131,80,0,0,1,2.0
132,608,0,0,0,2.0
133,1696,0,25,1,2.0
134,4944,0,175,0,3.0
135,12464,2,75,3,6.0
