sim,population,hospitals,mobilehomes,psubstations,tors
1,0,0,0,0,0.0
2,192,0,0,0,1.0
3,0,0,0,0,0.0
4,400,0,0,0,1.0
5,0,0,0,0,0.0
6,208,0,0,0,2.0
7,48,0,0,0,1.0
8,0,0,0,0,1.0
9,0,0,0,0,0.0
10,0,0,0,0,0.0
11,0,0,0,0,0.0
12,0,0,0,0,0.0
13,0,0,0,0,1.0
14,0,0,0,0,0.0
15,0,0,0,0,0.0
16,80,0,0,0,1.0
17,2560,0,0,1,2.0
18,0,0,0,0,0.0
19,160,0,0,0,1.0
20,0,0,0,0,0.0
21,0,0,0,0,0.0
22,0,0,0,0,0.0
23,0,0,0,0,0.0
24,48,0,0,0,1.0
25,16,0,0,0,1.0
26,0,0,0,0,0.0
27,0,0,0,0,0.0
28,0,0,0,0,0.0
29,256,0,0,1,2.0
30,1184,0,0,0,1.0
31,0,0,0,0,0.0
32,464,0,0,0,2.0
33,112,0,0,0,1.0
34,320,0,0,1,2.0
35,624,0,0,0,1.0
36,48,0,0,0,1.0
37,0,0,0,0,0.0
38,0,0,0,0,0.0
39,0,0,0,0,0.0
40,0,0,0,0,0.0
41,0,0,0,0,0.0
42,144,0,0,0,1.0
43,128,0,0,0,1.0
44,672,0,25,4,2.0
45,0,0,0,0,0.0
46,0,0,0,0,0.0
47,0,0,0,0,0.0
48,0,0,0,0,0.0
49,496,0,0,0,3.0
50,0,0,0,0,0.0
51,16,0,0,0,1.0
52,0,0,0,0,0.0
53,96,0,0,0,1.0
54,0,0,0,0,0.0
55,0,0,0,0,0.0
56,0,0,0,0,0.0
57,0,0,0,0,0.0
58,0,0,0,0,0.0
59,32,0,0,0,1.0
60,128,0,0,0,1.0
61,272,0,25,0,1.0
62,0,0,0,0,0.0
63,160,0,0,0,1.0
64,496,0,0,0,3.0
65,0,0,0,0,0.0
66,16,0,0,0,1.0
67,608,0,0,0,1.0
68,256,0,0,1,3.0
69,80,0,0,0,1.0
70,0,0,0,0,0.0
71,0,0,0,0,0.0
72,0,0,0,0,0.0
73,0,0,0,0,0.0
74,0,0,0,0,0.0
75,0,0,0,0,0.0
76,0,0,0,0,0.0
77,0,0,0,0,0.0
78,496,0,0,0,1.0
79,96,0,0,0,2.0
80,448,0,0,0,2.0
81,288,0,0,0,1.0
82,0,0,0,0,0.0
83,208,0,0,0,1.0
84,0,0,0,0,0.0
85,32,0,0,0,1.0
86,0,0,0,0,0.0
87,0,0,0,0,0.0
88,112,0,0,0,2.0
89,64,0,0,0,1.0
90,0,0,0,0,0.0
91,160,0,0,0,3.0
92,0,0,0,0,0.0
93,432,0,0,0,1.0
94,336,0,0,0,1.0
95,0,0,0,0,0.0
96,0,0,0,0,0.0
97,0,0,0,0,0.0
98,32,0,0,0,1.0
99,3216,0,0,0,3.0
