population,hospitals,mobilehomes,psubstations,tors
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
1296,0,0,1,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
528,0,0,1,1.0
0,0,0,0,0.0
1968,0,0,2,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
256,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
896,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
1392,0,0,0,1.0
1088,0,75,3,1.0
0,0,0,0,0.0
2016,0,0,3,3.0
0,0,0,0,0.0
0,0,0,0,0.0
2096,0,0,0,1.0
432,0,0,0,1.0
0,0,0,0,0.0
784,0,0,0,1.0
12768,0,0,1,2.0
0,0,0,0,0.0
704,0,0,0,1.0
0,0,0,0,0.0
704,0,0,3,1.0
1136,0,0,1,3.0
816,0,0,3,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
208,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
2256,0,25,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
40352,0,0,2,1.0
0,0,0,0,0.0
0,0,0,0,0.0
448,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
2256,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
8400,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
1744,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
224,0,0,0,1.0
0,0,0,0,0.0
44544,1,200,5,3.0
46112,1,0,5,1.0
0,0,0,0,0.0
48336,1,25,1,7.0
736,0,0,0,1.0
0,0,0,0,0.0
400,0,0,0,1.0
560,0,0,0,1.0
800,0,0,1,1.0
752,0,25,0,2.0
224,0,0,2,1.0
0,0,0,0,0.0
1408,0,0,0,1.0
8272,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
544,0,25,1,1.0
2112,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
336,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
592,0,25,0,1.0
416,0,0,0,1.0
0,0,0,0,0.0
24096,3,225,2,2.0
0,0,0,0,0.0
272,0,0,0,1.0
0,0,0,0,0.0
304,0,0,0,1.0
0,0,0,0,0.0
736,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
480,0,0,0,1.0
1264,0,0,0,1.0
0,0,0,0,0.0
4608,0,0,0,1.0
17968,0,150,2,4.0
288,0,0,0,1.0
3424,1,0,2,1.0
400,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
496,0,0,2,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
560,0,0,0,1.0
0,0,0,0,0.0
512,0,0,0,1.0
0,0,0,0,0.0
1424,1,25,3,2.0
0,0,0,0,0.0
1488,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
832,0,0,0,1.0
768,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
544,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
384,0,0,0,1.0
2288,0,0,3,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
2880,0,25,0,1.0
368,0,0,0,1.0
0,0,0,0,0.0
464,0,0,0,1.0
816,0,0,0,1.0
0,0,0,0,0.0
352,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
992,0,0,2,2.0
0,0,0,0,0.0
208,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
1072,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
768,0,0,1,2.0
432,0,250,4,1.0
0,0,0,0,0.0
2880,0,25,0,1.0
2240,0,25,2,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
352,0,0,0,1.0
1792,0,25,2,2.0
0,0,0,0,0.0
2272,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
288,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
1568,0,0,4,2.0
160,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
336,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
288,0,0,0,1.0
0,0,0,0,0.0
1280,0,0,3,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
22816,0,250,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
1056,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
1040,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
11184,1,0,2,1.0
0,0,0,0,0.0
144,0,0,0,1.0
0,0,0,0,0.0
30704,0,0,7,2.0
0,0,0,0,0.0
720,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
9152,0,675,10,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
2928,0,0,1,1.0
0,0,0,0,0.0
7408,0,0,3,7.0
816,0,0,0,3.0
0,0,0,0,0.0
288,0,0,0,1.0
0,0,0,0,0.0
992,0,0,1,1.0
336,0,0,1,1.0
0,0,0,0,0.0
0,0,0,0,0.0
688,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
448,0,0,1,1.0
496,0,0,1,1.0
0,0,0,0,0.0
2576,0,0,0,1.0
416,0,0,0,1.0
336,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
384,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
26176,0,0,0,1.0
22160,0,25,10,3.0
3312,1,0,7,1.0
0,0,0,0,0.0
0,0,0,0,0.0
496,0,0,1,1.0
528,0,0,0,1.0
208,0,0,0,1.0
368,0,0,0,1.0
480,0,0,0,1.0
112,0,0,0,1.0
0,0,0,0,0.0
5152,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
1056,0,0,2,1.0
0,0,0,0,0.0
6688,0,0,0,1.0
4880,0,0,2,2.0
