sim,population,hospitals,mobilehomes,psubstations,tors
1,11840,1,50,15,25
2,40928,1,225,11,14
3,4528,0,0,4,12
4,4848,2,25,13,10
5,8832,4,475,4,11
6,3136,1,125,3,11
7,11120,0,0,3,22
8,11856,1,75,9,20
9,42784,4,550,31,30
10,10480,3,100,10,10
11,37328,0,0,15,38
12,10288,2,50,5,16
13,71712,4,475,22,21
14,65600,1,250,9,17
15,35376,4,25,11,19
16,43808,4,625,17,19
17,3280,1,0,5,12
18,2384,1,0,6,13
19,896,1,0,1,7
20,36416,4,400,13,21
21,42208,1,350,14,31
22,53680,2,125,13,20
23,28448,1,175,11,12
24,2096,0,0,3,10
25,29808,1,150,19,56
26,9632,0,75,10,28
27,31040,0,625,4,13
28,16368,1,25,7,12
29,15344,1,125,7,19
30,33984,0,300,24,33
31,25456,0,0,6,35
32,11728,2,175,4,30
33,5136,1,0,4,10
34,18416,0,150,16,21
35,21456,0,75,13,27
36,14640,0,175,10,25
37,35520,1,175,8,14
38,27792,4,250,15,20
39,28480,0,100,7,11
40,2256,0,25,5,18
41,28144,1,0,11,25
42,31568,1,175,17,31
43,3168,0,0,0,10
44,47904,1,150,10,25
45,3072,0,0,3,9
46,15120,1,75,11,29
47,17008,0,125,3,13
48,44896,4,100,13,21
49,5584,0,250,13,21
50,29696,2,0,4,15
51,10000,2,75,12,25
52,15632,0,150,10,18
53,60928,1,475,16,26
54,1232,0,0,2,13
55,43824,2,700,19,27
56,72752,4,525,32,25
57,11184,0,50,7,19
58,43136,2,125,30,21
59,5600,0,50,9,25
60,7440,0,75,6,18
61,9664,1,150,12,6
62,94544,2,200,40,75
63,18352,0,0,7,20
64,14368,1,450,6,29
65,49888,1,25,23,52
66,86528,1,275,24,27
67,2832,0,0,0,7
68,12928,0,75,19,33
69,8064,0,50,5,17
70,15200,1,0,11,33
71,2208,0,0,2,8
72,9808,0,300,5,20
73,7440,0,25,2,14
74,46048,0,375,21,33
75,7344,1,0,9,20
76,30272,3,125,11,25
77,29856,2,0,14,25
78,69504,2,300,12,23
79,63584,3,75,14,15
80,3008,0,0,1,10
81,12704,2,50,16,30
82,22960,2,0,23,41
83,1296,0,50,0,11
84,8304,0,225,9,9
85,48592,3,125,17,32
86,35840,3,500,32,29
87,96944,4,150,42,79
88,11920,0,0,6,16
89,36560,0,375,2,11
90,7408,0,25,8,15
91,800,0,0,0,3
92,117472,2,750,10,7
93,46688,0,25,14,15
94,8896,2,275,14,20
95,41968,6,525,21,32
96,25328,1,25,8,22
97,139280,8,1200,20,37
98,2272,0,0,5,8
99,35856,1,300,12,27
100,2304,1,0,1,9
101,28576,1,250,12,23
102,25440,1,100,11,23
103,29008,1,25,4,37
104,5168,0,0,13,18
105,20128,0,100,7,13
106,13920,0,0,10,31
107,5104,0,0,4,20
108,31696,0,50,5,16
109,15744,0,25,6,26
110,91904,6,425,22,25
111,34960,3,175,19,35
112,6080,0,25,4,14
113,5504,1,0,10,9
114,17520,1,25,3,14
115,8368,0,125,14,22
116,4288,1,75,4,11
117,4720,1,75,5,24
118,44128,0,25,5,24
119,21120,0,50,10,19
120,4416,1,25,9,20
121,9136,0,0,2,9
122,5744,1,75,11,11
123,2480,0,0,5,10
124,13456,0,0,5,14
125,89472,6,450,21,23
126,3856,0,25,6,15
127,65712,0,150,13,25
128,6288,0,25,3,11
129,17728,2,0,4,31
130,5728,1,0,12,11
131,9408,1,50,7,27
132,20704,2,175,7,19
133,10176,1,0,2,24
134,8464,0,275,2,13
135,26896,1,0,6,38
136,7680,3,25,10,20
137,44368,0,225,23,18
138,18208,1,50,11,24
139,57408,2,300,44,75
140,11248,2,0,5,13
141,36704,2,425,15,21
142,29824,8,125,22,14
143,35632,1,25,3,18
144,11440,3,75,10,12
145,39008,0,275,13,16
146,11200,0,150,3,13
147,9232,1,0,11,24
148,4304,0,25,2,16
149,4048,0,50,6,15
150,172880,4,600,42,18
151,1408,0,0,4,8
152,20080,2,25,15,34
153,59952,5,100,14,37
154,49872,1,650,27,39
155,44912,1,325,15,22
156,30672,1,100,24,30
157,15792,3,0,14,10
158,47040,0,150,20,27
159,22432,1,25,6,17
160,6304,1,50,7,18
161,31536,0,150,24,39
162,33808,2,75,5,21
163,6560,0,75,8,10
164,14320,1,75,5,23
165,19696,0,25,6,19
166,22224,2,25,1,8
167,24960,1,75,9,19
168,22576,2,50,8,22
169,119232,4,475,30,49
170,8272,0,0,3,13
171,3168,0,0,4,10
172,7440,0,125,12,15
173,3120,0,75,1,8
174,29936,1,225,18,31
175,12416,1,0,9,16
176,10608,0,0,15,16
177,34960,3,475,6,13
178,55168,1,350,24,29
179,14880,0,0,17,21
180,15632,1,100,16,31
181,13776,0,150,6,14
182,41664,2,1025,16,29
183,91216,3,300,16,38
184,52608,1,375,18,23
185,124352,5,1100,53,59
186,11200,0,200,3,7
187,2144,0,25,4,10
188,3904,0,0,1,11
189,20624,0,0,18,19
190,177088,5,600,43,84
191,22640,2,225,19,14
192,5872,1,0,0,7
193,150992,4,250,18,26
194,15520,0,50,4,9
195,15808,2,50,13,24
196,17328,0,100,17,17
197,20624,4,0,13,17
198,94560,3,100,13,39
199,69136,4,700,13,31
200,129808,1,275,26,27
201,58096,2,200,17,32
202,11504,0,175,6,13
203,49264,4,150,24,31
204,52192,0,275,13,20
205,52896,1,500,20,31
206,8528,3,175,13,22
207,25760,3,75,12,22
208,162640,7,575,45,79
209,67600,2,400,11,22
210,9568,1,100,12,22
211,21760,1,100,12,15
212,12448,0,0,9,21
213,27392,0,125,4,18
214,72336,5,1000,13,11
215,59120,1,75,16,17
216,13552,1,150,8,21
217,14944,0,0,5,17
218,12496,0,425,4,21
219,45584,1,50,10,20
220,4496,0,175,6,13
221,8944,1,150,11,26
222,57264,1,375,21,36
223,29376,0,150,12,16
224,19568,3,75,6,16
225,8304,0,200,7,14
226,8272,0,0,6,14
227,19248,0,0,3,20
228,7904,2,250,4,18
229,2144,0,0,3,5
230,23248,0,50,0,6
231,15696,0,0,4,12
232,43088,3,0,12,32
233,38768,1,0,6,15
234,16864,0,50,18,50
235,107152,2,175,18,16
236,30976,0,75,7,26
237,35664,4,25,20,14
238,31392,2,150,10,18
239,48992,0,375,7,20
240,6064,1,0,2,13
241,15808,0,0,16,42
242,3072,0,25,7,18
243,8880,1,25,14,8
244,29088,3,25,24,56
245,23360,0,0,6,21
246,28288,1,25,13,20
247,5808,0,25,5,9
248,13008,0,0,2,9
249,1408,0,50,2,8
250,2640,0,0,1,9
251,13696,1,200,8,18
252,112880,2,50,38,49
253,7808,1,0,15,28
254,5104,0,0,4,11
255,25280,0,50,17,23
256,27216,3,225,14,16
257,13264,4,50,13,32
258,7968,0,0,7,16
259,58448,4,225,16,54
260,57120,1,25,14,13
261,84720,1,1400,26,41
262,43616,0,375,7,17
263,75104,4,375,21,22
264,4752,0,25,5,10
265,11616,3,125,12,19
