population,hospitals,mobilehomes,psubstations,tors
768,0,0,0,2.0
224,0,0,0,1.0
1872,0,0,1,2.0
2864,0,0,0,6.0
1216,0,0,1,2.0
576,0,0,1,4.0
48,0,0,0,1.0
272,0,0,0,2.0
416,0,0,1,1.0
2224,0,25,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
656,0,0,1,2.0
7440,0,175,4,5.0
384,0,0,0,1.0
1520,0,0,1,4.0
1920,0,0,0,4.0
15408,0,25,3,3.0
336,0,0,0,2.0
528,0,0,0,1.0
3488,0,0,2,1.0
0,0,0,0,0.0
768,0,0,1,1.0
1664,0,0,0,2.0
1584,0,0,1,4.0
192,0,0,0,1.0
240,0,0,2,1.0
0,0,0,0,0.0
1888,0,0,0,8.0
1184,0,0,0,1.0
1344,0,0,0,2.0
848,0,0,1,4.0
1072,0,0,1,3.0
144,0,0,1,1.0
3600,0,250,3,3.0
128,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
800,0,0,0,2.0
5632,0,200,7,4.0
896,0,0,0,2.0
816,0,0,0,4.0
0,0,0,0,0.0
1024,0,0,1,2.0
880,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
112,0,0,0,1.0
1520,0,0,1,3.0
1968,1,25,3,1.0
3072,0,25,0,2.0
0,0,0,0,0.0
720,0,0,1,5.0
0,0,0,0,0.0
368,0,0,0,2.0
1472,0,0,1,3.0
400,0,0,0,2.0
0,0,0,0,0.0
7744,0,100,2,6.0
1184,0,0,0,2.0
640,0,125,0,3.0
336,0,0,0,1.0
512,0,0,0,2.0
6208,0,200,10,8.0
2640,0,0,2,2.0
176,0,0,0,3.0
2080,0,0,0,2.0
3040,0,0,2,2.0
2064,0,0,0,2.0
0,0,0,0,0.0
3344,0,0,0,4.0
5680,0,0,2,5.0
240,0,0,1,1.0
0,0,0,0,0.0
176,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
2720,0,50,0,3.0
464,0,0,0,2.0
1584,0,0,0,1.0
848,0,0,3,3.0
224,0,0,0,1.0
1152,0,0,1,1.0
240,0,0,0,1.0
256,0,0,0,1.0
576,0,0,0,1.0
1600,0,0,0,5.0
1216,0,0,0,3.0
4176,1,100,1,7.0
176,0,0,0,2.0
1808,0,75,2,3.0
704,0,0,0,3.0
1056,0,0,0,1.0
1168,0,25,0,3.0
272,0,0,0,1.0
304,0,0,0,1.0
1952,0,25,0,4.0
2528,0,0,0,2.0
352,0,0,0,1.0
2512,0,0,1,3.0
256,2,175,2,1.0
240,0,0,0,1.0
176,0,0,1,1.0
1520,0,0,1,5.0
928,0,25,0,3.0
0,0,0,0,0.0
7504,0,25,0,3.0
1008,0,0,0,3.0
0,0,0,0,0.0
2512,0,0,0,4.0
5552,1,150,4,2.0
0,0,0,0,0.0
3904,0,0,0,7.0
720,0,0,0,2.0
4656,0,125,1,2.0
480,0,0,0,1.0
208,0,0,0,1.0
112,0,0,0,1.0
336,0,0,0,2.0
0,0,0,0,0.0
3520,1,0,4,6.0
1184,0,0,0,2.0
24944,0,75,4,5.0
0,0,0,0,0.0
1008,0,25,1,4.0
0,0,0,0,0.0
128,0,0,0,1.0
880,0,0,1,1.0
512,0,0,0,2.0
3248,0,0,0,2.0
352,0,0,0,3.0
0,0,0,0,0.0
496,0,0,1,2.0
0,0,0,0,0.0
208,0,0,1,1.0
2880,0,0,0,5.0
48,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
24816,0,0,1,2.0
320,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
96,0,0,0,1.0
1040,0,0,1,4.0
256,0,0,0,2.0
1056,0,0,0,1.0
9744,0,0,0,3.0
112,0,0,0,1.0
64,0,0,0,1.0
208,0,0,0,1.0
304,0,0,0,1.0
912,0,100,4,1.0
0,0,0,0,0.0
0,0,0,0,0.0
2000,0,0,0,3.0
384,0,0,0,1.0
3600,0,75,4,3.0
112,0,0,0,1.0
272,0,0,0,1.0
160,0,0,0,1.0
496,0,0,0,1.0
416,0,0,0,1.0
416,0,0,0,3.0
0,0,0,0,0.0
9184,0,25,7,14.0
1664,0,25,3,1.0
1056,0,0,0,1.0
1664,0,0,0,1.0
1952,0,0,0,5.0
576,0,0,0,3.0
0,0,0,0,0.0
832,1,25,0,5.0
0,0,0,0,0.0
0,0,0,0,0.0
1088,0,0,0,1.0
1648,0,0,0,2.0
0,0,0,0,0.0
752,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
400,0,0,0,2.0
944,0,0,1,2.0
0,0,0,0,0.0
512,0,0,0,2.0
5584,0,0,0,2.0
2320,1,0,3,1.0
7904,0,0,1,7.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
1856,1,225,1,5.0
288,0,0,0,1.0
10544,2,175,2,3.0
2272,0,150,0,6.0
15216,0,50,0,6.0
96,0,0,0,1.0
15952,1,0,1,1.0
144,0,0,0,1.0
1632,0,0,0,2.0
64,0,0,0,1.0
13552,2,375,5,1.0
1328,0,0,0,1.0
272,0,0,0,4.0
32,0,0,0,1.0
464,0,0,0,2.0
336,0,0,0,2.0
48,0,0,0,1.0
0,0,0,0,0.0
48,0,0,0,1.0
6288,0,75,2,1.0
208,0,0,0,1.0
848,0,0,3,2.0
112,0,0,0,1.0
752,0,0,0,2.0
480,0,0,1,3.0
160,0,0,0,1.0
448,0,0,0,1.0
8304,2,50,5,5.0
480,0,0,0,2.0
6992,0,100,4,3.0
0,0,0,0,0.0
0,0,0,0,0.0
176,0,0,0,2.0
400,0,0,0,4.0
3808,0,50,1,3.0
0,0,0,0,0.0
576,0,0,0,2.0
3232,0,0,3,6.0
6880,0,500,3,1.0
0,0,0,0,0.0
320,0,0,0,1.0
4064,0,0,1,4.0
128,0,0,0,1.0
2016,0,0,1,2.0
192,0,0,0,1.0
224,0,0,0,2.0
896,0,0,0,2.0
112,1,0,1,1.0
5216,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
5120,0,150,4,13.0
0,0,0,0,0.0
2320,0,0,2,4.0
112,0,0,0,1.0
400,0,0,0,2.0
0,0,0,0,0.0
2816,0,0,1,3.0
32,0,0,0,1.0
320,0,0,1,2.0
2752,0,0,0,2.0
1952,0,0,0,3.0
0,0,0,0,0.0
7040,0,200,0,5.0
1456,0,0,0,4.0
240,0,0,0,1.0
1344,0,0,1,4.0
800,0,75,0,1.0
720,1,200,2,3.0
480,0,0,0,2.0
0,0,0,0,0.0
848,0,0,0,3.0
416,0,0,1,3.0
1648,0,150,3,3.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
288,0,0,0,1.0
