population,hospitals,mobilehomes,psubstations,tors
128,0,0,3,8.0
160,0,0,0,4.0
32,0,50,1,4.0
48,0,0,0,4.0
32,0,0,0,2.0
48,0,0,0,1.0
64,0,0,0,3.0
32,0,0,1,2.0
32,0,0,1,2.0
0,0,0,0,1.0
32,0,0,0,6.0
320,1,0,0,5.0
43456,2,100,5,5.0
240,0,0,1,6.0
32,0,0,0,3.0
1680,0,0,2,4.0
80,0,0,0,2.0
16,0,0,0,1.0
0,0,0,0,1.0
176,0,25,0,1.0
704,0,0,0,5.0
368,0,0,0,1.0
4592,0,0,0,3.0
48,0,0,0,1.0
336,0,25,2,6.0
96,0,0,0,2.0
16,0,0,2,3.0
0,0,0,0,1.0
4448,1,125,3,7.0
1424,0,0,0,6.0
192,0,0,0,3.0
448,0,0,0,3.0
768,0,0,1,1.0
560,0,0,0,4.0
288,0,0,0,2.0
3824,0,25,8,3.0
128,0,0,1,4.0
1472,1,0,1,7.0
0,0,0,0,1.0
1120,0,0,2,3.0
2064,0,0,0,6.0
656,0,0,0,9.0
16,0,0,0,3.0
6384,0,0,0,7.0
0,0,0,0,1.0
144,0,0,0,3.0
272,0,0,2,3.0
3248,0,0,0,5.0
32,0,0,2,4.0
16,0,0,0,1.0
112,0,0,0,4.0
48,0,0,2,2.0
0,0,0,0,1.0
1408,0,0,0,2.0
256,0,0,0,3.0
16,0,0,0,1.0
784,0,0,0,1.0
1152,0,0,0,2.0
80,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,0.0
34672,0,100,4,16.0
0,0,0,0,1.0
272,0,0,0,3.0
1792,0,0,0,10.0
11616,0,0,0,2.0
0,0,0,0,1.0
816,0,0,2,8.0
0,0,0,0,1.0
96,0,0,0,6.0
6048,0,50,1,2.0
96,0,0,0,2.0
0,0,0,0,1.0
64,0,0,0,5.0
0,0,0,0,0.0
32,0,0,0,4.0
3168,0,0,3,9.0
80,0,0,0,5.0
96,0,0,0,4.0
16,0,0,0,1.0
48,0,0,0,1.0
80,0,0,0,8.0
496,0,0,0,3.0
16,1,0,0,1.0
496,0,0,1,5.0
960,0,0,2,4.0
528,0,0,0,10.0
0,0,0,0,0.0
16,0,0,2,2.0
0,0,0,0,0.0
96,0,0,0,2.0
0,0,0,1,2.0
0,0,0,0,0.0
0,0,0,0,1.0
48,0,0,0,3.0
752,0,0,2,3.0
32,0,0,0,4.0
144,0,0,0,1.0
496,0,0,2,8.0
48,0,0,0,1.0
256,0,0,0,4.0
2464,0,0,0,2.0
544,0,0,0,3.0
0,0,0,0,0.0
1888,0,0,3,4.0
336,1,0,0,5.0
528,0,0,1,2.0
0,0,0,0,0.0
64,0,0,0,6.0
0,0,0,0,2.0
1072,0,0,3,5.0
80,0,0,0,2.0
32,0,0,0,1.0
1808,0,0,0,4.0
0,0,0,0,1.0
0,0,0,0,1.0
96,0,0,2,7.0
16,0,0,0,1.0
128,0,0,1,6.0
48,0,0,0,6.0
16,0,0,0,2.0
48,0,0,1,2.0
1552,0,0,4,4.0
0,0,0,0,0.0
4176,0,25,3,7.0
48,0,0,0,2.0
80,0,0,0,5.0
16,0,0,0,1.0
48,0,0,0,4.0
720,0,0,1,3.0
192,1,0,0,9.0
0,0,0,0,3.0
304,0,200,2,6.0
27520,0,100,2,2.0
656,0,0,0,4.0
16,0,0,0,2.0
176,0,0,0,5.0
5984,0,0,2,3.0
3312,1,0,3,13.0
384,0,0,2,3.0
208,0,0,0,2.0
0,0,0,0,1.0
144,0,0,0,2.0
144,0,0,0,3.0
16,0,0,6,1.0
144,0,0,0,7.0
640,0,0,1,3.0
208,0,0,1,3.0
144,0,0,1,3.0
272,0,0,0,5.0
0,0,0,0,2.0
48,0,0,0,6.0
4304,5,0,8,5.0
80,0,0,0,5.0
1296,1,0,3,4.0
32,0,0,1,4.0
32,0,0,0,1.0
176,0,0,1,4.0
32,0,0,0,1.0
2448,1,0,0,7.0
256,1,0,0,7.0
16,0,0,0,2.0
0,0,0,0,1.0
464,0,0,0,4.0
64,0,0,0,7.0
32,0,0,0,1.0
224,0,0,0,6.0
0,0,0,0,1.0
4288,0,0,5,11.0
320,0,0,1,1.0
16,0,0,0,1.0
0,0,0,0,1.0
4864,1,0,3,2.0
16,0,0,0,1.0
16,0,0,0,2.0
1648,0,0,1,2.0
0,0,0,0,1.0
0,0,0,0,0.0
336,0,0,0,3.0
976,0,25,0,2.0
0,0,0,0,1.0
2432,0,0,0,1.0
144,0,175,0,3.0
144,0,0,0,5.0
832,0,0,0,6.0
32,0,0,0,2.0
560,0,0,0,5.0
32,0,0,0,2.0
496,0,0,0,5.0
1472,1,0,6,14.0
48,0,0,2,6.0
16,0,0,0,1.0
64,0,0,0,2.0
0,0,0,1,1.0
32,0,0,0,2.0
608,0,0,0,4.0
416,0,0,2,2.0
608,0,0,1,5.0
64,0,0,0,5.0
192,0,0,0,4.0
1728,0,0,1,6.0
2208,0,0,0,5.0
16,0,0,2,2.0
288,0,0,1,3.0
208,0,0,0,4.0
0,0,0,1,2.0
1648,0,550,2,5.0
2048,2,0,1,17.0
192,1,50,2,2.0
48,0,0,0,1.0
80,0,0,0,2.0
32,0,0,1,2.0
9552,0,0,5,3.0
96,0,0,0,1.0
16,0,0,0,1.0
400,0,0,0,3.0
1120,0,0,1,6.0
16,0,0,0,3.0
1984,0,0,5,6.0
0,0,0,0,1.0
144,0,0,0,2.0
1728,0,0,2,8.0
208,0,0,1,3.0
720,0,0,0,3.0
192,0,0,1,3.0
0,0,0,0,0.0
32,0,0,0,3.0
0,0,0,0,3.0
32,0,0,0,1.0
48,0,0,0,1.0
16,0,0,0,2.0
800,0,0,0,2.0
0,0,0,0,3.0
2960,1,50,0,8.0
48,0,0,0,5.0
32,0,0,0,3.0
384,0,0,0,3.0
0,0,0,0,1.0
16,0,0,0,1.0
0,0,0,0,1.0
32,0,0,1,5.0
0,0,0,0,0.0
0,0,0,0,0.0
976,0,0,3,8.0
3152,0,0,0,2.0
16,0,0,0,2.0
144,0,0,2,2.0
64,0,0,0,2.0
480,0,0,1,5.0
2160,1,0,0,3.0
0,0,0,0,2.0
656,0,0,2,8.0
672,0,0,2,6.0
416,0,0,0,4.0
16,0,0,0,1.0
0,0,0,0,0.0
5984,0,0,1,3.0
448,0,0,1,3.0
464,0,0,1,7.0
32,0,0,0,2.0
624,0,0,0,7.0
224,0,0,3,4.0
48,0,0,0,3.0
16,0,0,0,2.0
3680,0,0,1,6.0
176,0,0,0,3.0
160,0,0,0,3.0
160,0,0,0,4.0
304,1,0,0,3.0
0,0,0,0,1.0
48,0,0,0,4.0
0,0,0,0,1.0
16976,2,0,3,7.0
0,0,0,0,0.0
560,0,0,2,5.0
0,0,0,1,2.0
848,0,0,0,3.0
192,0,0,0,4.0
48,0,0,0,2.0
304,0,0,0,3.0
32,0,0,0,3.0
768,0,0,0,7.0
1040,0,0,0,4.0
48,0,0,0,2.0
1744,0,75,5,3.0
592,0,0,0,3.0
5376,1,25,2,4.0
464,1,125,2,7.0
0,0,0,1,1.0
544,0,0,0,2.0
144,0,0,1,4.0
0,0,0,0,2.0
0,0,0,0,2.0
16,0,0,0,1.0
1072,1,0,1,4.0
992,0,0,0,3.0
784,0,0,0,6.0
208,0,0,2,2.0
16,0,0,0,2.0
96,0,0,0,4.0
0,0,0,0,0.0
16,0,0,0,1.0
32,0,25,0,1.0
208,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,2.0
16,0,0,0,1.0
112,0,0,0,7.0
160,0,0,0,5.0
0,0,0,0,0.0
336,0,25,0,4.0
192,0,0,0,6.0
2336,1,0,0,7.0
0,0,0,0,2.0
16,0,0,0,3.0
32,0,0,0,3.0
0,0,0,0,1.0
11568,0,0,0,2.0
1168,0,0,0,4.0
0,0,0,0,2.0
176,0,0,0,3.0
0,0,0,0,0.0
208,0,0,0,2.0
0,0,0,0,0.0
3136,0,0,0,1.0
3792,0,0,0,6.0
480,0,0,0,3.0
32,0,0,0,5.0
0,0,0,0,1.0
0,0,0,0,2.0
0,0,0,0,1.0
336,0,0,2,4.0
688,0,0,2,3.0
1056,0,0,1,2.0
144,0,0,2,4.0
720,0,0,0,1.0
0,0,0,0,1.0
1056,0,0,0,7.0
32,0,0,0,3.0
2416,0,0,1,6.0
608,0,0,1,3.0
32,0,0,0,2.0
2912,0,0,4,8.0
0,0,0,0,3.0
384,0,0,0,5.0
0,0,0,1,1.0
624,0,0,0,1.0
8752,1,75,6,4.0
64,0,0,0,4.0
0,0,0,0,1.0
112,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
688,0,0,0,6.0
80,0,0,0,1.0
528,0,0,1,4.0
0,0,0,0,0.0
32,0,0,0,3.0
48,0,0,0,5.0
0,0,0,0,1.0
3376,0,0,0,2.0
1952,0,0,3,9.0
96,0,0,3,6.0
6512,0,0,3,14.0
112,0,0,0,7.0
448,0,0,0,1.0
0,0,0,0,3.0
48,0,0,0,2.0
0,0,0,2,1.0
16,0,0,0,3.0
0,0,0,0,0.0
80,0,0,0,3.0
16,0,0,0,1.0
192,0,0,1,6.0
64,0,0,0,1.0
0,0,0,0,1.0
1200,0,0,1,2.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
48,0,0,0,3.0
192,0,0,0,4.0
1056,0,0,0,3.0
64,0,0,0,3.0
64,0,0,0,2.0
64,0,0,1,4.0
0,0,0,0,0.0
96,0,0,0,4.0
1040,0,0,1,4.0
384,0,0,0,3.0
128,0,0,2,2.0
0,0,0,0,0.0
96,0,0,0,3.0
256,0,0,0,6.0
0,0,0,0,1.0
16,0,0,0,3.0
0,0,0,0,1.0
48,0,0,0,4.0
6448,0,0,0,3.0
1584,1,0,2,4.0
32,0,0,0,2.0
144,0,0,0,3.0
112,0,0,0,2.0
6928,0,50,4,2.0
16,0,0,0,1.0
640,0,0,2,4.0
3008,0,0,2,8.0
240,0,0,1,2.0
992,0,0,1,6.0
64,0,0,2,4.0
224,1,50,0,2.0
48,0,0,0,2.0
0,0,0,0,1.0
192,0,0,0,1.0
320,0,325,3,2.0
32,0,0,0,1.0
32,0,0,0,1.0
0,0,0,0,1.0
80,0,0,0,3.0
16,0,0,1,3.0
0,0,0,0,1.0
0,0,0,0,2.0
336,0,0,2,5.0
0,0,0,0,0.0
304,0,0,0,2.0
96,0,0,1,4.0
16,0,0,1,3.0
0,0,0,0,2.0
0,0,0,0,2.0
0,0,0,0,0.0
528,0,0,5,9.0
864,0,0,0,2.0
1440,1,275,6,5.0
0,0,0,0,1.0
0,0,0,0,1.0
80,0,0,0,6.0
64,0,0,0,2.0
3296,0,0,1,7.0
16,0,0,0,2.0
160,0,0,0,3.0
12240,0,0,0,5.0
16032,0,0,0,5.0
144,0,0,0,9.0
0,0,0,0,0.0
112,0,0,0,4.0
688,1,125,0,10.0
736,0,0,1,3.0
0,0,0,0,2.0
544,0,0,3,6.0
96,1,0,0,3.0
224,0,0,0,6.0
5104,0,0,2,8.0
16,0,0,0,4.0
0,0,0,0,2.0
16,0,0,0,2.0
0,0,0,0,2.0
64,0,0,0,3.0
1840,0,200,2,6.0
496,0,0,0,5.0
0,0,0,0,1.0
592,0,0,2,4.0
32,0,0,1,3.0
0,0,0,0,4.0
11648,0,0,2,6.0
