sim,population,hospitals,mobilehomes,psubstations,tors
1,688,0,0,0,4.0
2,61984,1,225,6,11.0
3,704,0,0,0,6.0
4,4432,0,75,2,12.0
5,14896,0,225,6,29.0
6,41008,2,0,0,4.0
7,99376,3,200,7,13.0
8,24464,0,450,1,16.0
9,1776,0,75,4,8.0
10,496,0,0,1,4.0
11,3520,0,0,0,16.0
12,752,0,0,0,7.0
13,6656,0,0,3,14.0
14,1120,0,0,1,9.0
15,256,0,0,0,2.0
16,35600,0,325,6,22.0
17,240,0,0,0,5.0
18,7840,2,25,1,4.0
19,2480,2,0,2,10.0
20,2240,0,0,0,7.0
21,6864,0,0,1,7.0
22,208,0,0,0,6.0
23,5360,0,0,3,12.0
24,53072,1,350,1,32.0
25,976,0,0,3,16.0
26,21136,1,150,4,8.0
27,80,0,0,2,8.0
28,2816,1,0,1,12.0
29,11312,0,75,3,9.0
30,208,0,0,0,7.0
31,43856,4,0,4,12.0
32,6864,0,0,0,14.0
33,752,0,0,2,8.0
34,42400,0,425,5,10.0
35,192,0,0,0,6.0
36,8432,0,100,3,6.0
37,1568,1,0,0,15.0
38,77808,2,25,5,24.0
39,34496,0,150,6,26.0
40,44640,2,325,14,13.0
41,2608,0,0,0,18.0
42,720,0,0,3,16.0
43,37312,3,150,2,18.0
44,15136,1,0,7,32.0
45,2256,0,50,0,12.0
46,3312,0,0,4,14.0
47,32,0,0,0,1.0
48,2160,0,25,1,11.0
49,64,0,0,0,5.0
50,8208,0,125,3,7.0
51,2896,0,50,0,10.0
52,82976,2,150,4,3.0
53,17072,0,125,5,8.0
54,13904,1,150,4,9.0
55,528,0,0,0,6.0
56,1488,0,50,3,15.0
57,1600,1,25,0,16.0
58,81776,0,225,3,12.0
59,288,1,0,0,6.0
60,74992,0,175,7,26.0
61,288,0,0,1,4.0
62,1328,0,75,2,9.0
63,2464,0,0,0,20.0
64,1200,0,0,0,12.0
65,7376,0,0,1,10.0
66,1552,0,0,1,11.0
67,22448,1,0,5,4.0
68,7936,3,25,2,4.0
69,46128,1,75,3,16.0
70,12368,0,125,2,20.0
71,64,0,0,0,3.0
72,224,0,0,1,8.0
73,10368,0,100,1,16.0
74,48,0,0,0,4.0
75,39232,0,75,3,15.0
76,576,0,0,0,12.0
77,176,0,0,0,3.0
78,2016,0,125,0,22.0
79,0,0,0,0,4.0
80,8000,0,0,0,14.0
81,960,0,0,5,14.0
82,21952,2,475,5,35.0
83,6464,0,125,0,9.0
84,3152,0,0,1,11.0
85,912,0,0,1,11.0
86,4752,0,25,4,13.0
87,848,1,0,0,9.0
88,8592,0,0,2,7.0
89,13376,0,75,1,10.0
90,96,1,0,2,5.0
91,2480,0,25,1,9.0
92,12496,0,75,3,9.0
93,2224,0,0,0,9.0
94,28848,2,400,7,32.0
95,87760,3,500,16,62.0
96,528,0,200,0,9.0
97,464,0,25,1,9.0
98,1056,0,0,2,7.0
99,7616,0,0,0,14.0
100,5296,1,0,10,55.0
101,3312,0,0,0,9.0
102,2256,1,0,0,3.0
103,5072,0,250,1,10.0
