population,hospitals,mobilehomes,psubstations,tors
48,0,25,2,6.0
1680,0,0,2,5.0
352,0,0,0,4.0
48,0,0,1,1.0
480,0,25,3,3.0
80,0,0,0,3.0
208,0,0,0,8.0
336,0,0,0,3.0
0,0,0,0,6.0
96,0,0,0,5.0
112,0,0,1,8.0
816,0,0,0,3.0
112,0,0,0,6.0
1808,0,0,0,4.0
1232,0,0,0,3.0
48,0,0,0,5.0
16,0,0,0,4.0
0,0,0,0,2.0
16,0,0,0,2.0
368,0,0,0,4.0
2000,0,0,0,6.0
80,0,0,0,3.0
0,0,0,0,1.0
16,0,0,0,1.0
400,0,0,0,5.0
1968,0,0,2,6.0
48,0,0,0,3.0
160,0,0,0,2.0
624,0,0,1,10.0
160,0,0,0,2.0
6784,1,150,0,9.0
416,0,0,0,6.0
0,1,0,0,2.0
160,0,0,0,8.0
304,1,0,1,7.0
32,0,0,0,2.0
64,0,0,2,3.0
16,0,0,0,1.0
16,0,0,0,3.0
0,0,0,0,2.0
32,0,0,1,4.0
416,0,0,1,7.0
16,0,0,0,2.0
2816,0,0,1,5.0
0,0,0,0,2.0
144,0,0,0,7.0
112,1,250,0,3.0
192,0,0,1,9.0
32,0,0,0,4.0
32,0,0,1,2.0
432,0,0,6,6.0
80,0,0,0,2.0
560,0,0,2,7.0
2928,0,0,3,7.0
768,0,0,0,2.0
6832,1,0,5,8.0
48,0,0,0,3.0
1056,0,0,0,2.0
32,0,0,0,5.0
96,0,0,0,5.0
0,0,0,0,0.0
13088,0,0,4,19.0
9760,0,0,0,5.0
1824,1,0,1,4.0
272,1,0,1,8.0
688,0,0,1,7.0
16,0,0,0,2.0
32,0,0,0,4.0
1248,0,0,0,3.0
16,0,0,0,3.0
128,0,0,0,3.0
1904,0,0,0,8.0
16,0,0,1,5.0
16,0,0,1,5.0
0,0,0,0,1.0
0,0,0,0,0.0
2608,0,0,0,7.0
448,0,0,0,3.0
752,0,0,0,5.0
0,0,0,0,0.0
80,0,0,1,3.0
112,0,0,2,11.0
16,0,0,0,2.0
0,0,0,0,0.0
256,0,0,0,3.0
2448,0,0,2,13.0
3232,0,0,1,19.0
64,0,0,0,5.0
80,0,0,0,2.0
224,0,0,0,3.0
2672,1,0,0,5.0
0,0,0,0,2.0
0,0,0,0,1.0
1120,0,0,0,6.0
7424,0,50,4,10.0
1040,0,0,0,4.0
128,1,0,0,7.0
48,0,0,0,2.0
16,0,0,0,2.0
16,0,0,0,2.0
16,1,0,0,2.0
192,0,0,0,6.0
3264,1,25,4,8.0
96,0,0,2,5.0
0,0,0,0,3.0
64,0,0,0,6.0
1232,0,0,0,4.0
3488,0,0,2,4.0
496,0,0,1,10.0
1936,0,0,0,4.0
80,0,0,2,8.0
144,0,0,0,8.0
0,0,0,0,3.0
16304,1,25,3,6.0
64,0,0,1,6.0
48,0,0,0,4.0
48,0,0,0,2.0
272,0,0,0,5.0
1040,0,0,0,5.0
896,0,0,0,10.0
0,0,0,0,0.0
0,0,0,0,1.0
48,0,0,0,2.0
1120,0,0,0,4.0
1936,0,0,3,9.0
0,0,0,0,2.0
4304,0,0,2,6.0
240,0,0,0,4.0
6352,1,0,0,15.0
16,0,0,0,2.0
144,0,0,1,10.0
576,0,0,0,4.0
32,0,0,0,3.0
192,0,0,0,2.0
64,0,0,0,10.0
160,1,0,1,4.0
32,0,0,1,3.0
2368,0,0,0,6.0
5248,0,0,0,13.0
1344,0,50,0,2.0
704,1,0,5,4.0
0,0,0,0,1.0
80,0,0,0,3.0
48,0,0,0,2.0
32,0,0,0,4.0
0,0,0,0,3.0
0,0,0,0,2.0
16,0,0,0,2.0
32,0,0,0,3.0
0,0,0,0,3.0
0,0,0,0,0.0
368,0,0,0,9.0
432,0,0,3,7.0
112,0,0,0,4.0
48,1,0,0,3.0
6672,0,0,5,8.0
0,0,0,0,1.0
2880,0,0,1,2.0
5456,0,0,1,2.0
112,0,0,1,4.0
96,0,0,2,6.0
0,0,0,0,2.0
304,0,0,0,5.0
48,0,0,0,4.0
0,0,0,0,2.0
32,0,0,0,3.0
32,0,0,0,4.0
32,0,0,0,7.0
80,0,0,1,7.0
0,0,0,0,2.0
0,0,0,0,0.0
320,0,0,0,4.0
16,0,0,0,4.0
64,0,0,1,3.0
96,0,0,0,5.0
384,1,0,0,3.0
0,1,0,0,3.0
192,0,0,0,5.0
800,0,0,0,4.0
192,0,0,0,7.0
16,0,0,0,1.0
8304,0,425,0,8.0
32,0,0,0,4.0
48,1,0,1,5.0
112,0,0,0,10.0
17168,0,0,0,2.0
944,0,0,0,3.0
64,0,0,0,3.0
11536,0,0,0,6.0
2736,0,0,2,13.0
32,0,0,0,2.0
0,0,0,0,1.0
80,0,0,0,4.0
224,0,0,0,4.0
16,0,0,0,4.0
1152,0,100,1,5.0
16,0,0,0,2.0
80,0,0,0,6.0
24272,0,0,4,9.0
208,0,0,0,5.0
208,0,0,0,10.0
16,0,0,0,2.0
0,0,0,0,0.0
32,0,0,1,4.0
224,1,125,0,6.0
16,0,0,0,2.0
16,0,0,0,3.0
848,0,0,0,18.0
0,0,0,0,1.0
64,0,0,0,3.0
0,0,0,0,1.0
48,0,0,2,2.0
16,0,0,0,3.0
80,0,0,0,2.0
80,0,0,0,4.0
720,0,0,0,7.0
0,0,0,0,2.0
0,0,0,0,2.0
0,0,0,0,2.0
32,0,0,0,1.0
160,0,0,0,5.0
80,0,0,1,5.0
0,0,0,0,2.0
32,0,0,0,5.0
16,0,0,1,1.0
16,0,0,1,2.0
16,0,0,0,4.0
32,0,0,0,3.0
0,0,0,0,1.0
80,0,0,0,4.0
352,0,0,0,2.0
576,0,0,0,9.0
32,0,0,0,5.0
224,0,0,1,15.0
32,0,0,0,5.0
272,0,0,0,5.0
400,0,0,0,3.0
976,0,0,0,3.0
16,0,0,0,2.0
64,0,0,0,3.0
112,0,0,0,10.0
0,0,0,0,3.0
16,0,0,5,5.0
2256,0,0,0,11.0
16,0,0,0,5.0
432,0,0,3,5.0
0,0,0,0,0.0
208,0,0,0,4.0
32,0,0,0,3.0
240,0,0,0,5.0
16,0,0,0,1.0
80,0,0,0,4.0
16,0,0,0,2.0
0,0,0,0,1.0
224,0,0,0,6.0
32,0,0,0,1.0
160,0,0,0,1.0
0,0,0,0,5.0
832,0,225,1,9.0
0,0,0,0,1.0
704,0,0,0,10.0
96,0,0,0,4.0
48,0,0,2,6.0
288,0,0,0,2.0
48,0,0,0,3.0
1520,1,0,1,8.0
32,0,0,0,1.0
1584,0,0,0,5.0
1440,0,0,1,7.0
432,0,0,0,7.0
32,0,0,0,4.0
80,0,0,0,6.0
0,0,0,0,1.0
80,0,0,0,5.0
544,0,0,1,16.0
752,0,0,0,3.0
16,0,0,1,3.0
720,0,0,0,5.0
0,0,0,0,3.0
144,0,0,0,1.0
