population,hospitals,mobilehomes,psubstations,tors
4976,0,125,2,3.0
7888,0,0,0,2.0
464,0,0,0,1.0
208,0,0,0,2.0
1520,0,0,0,1.0
864,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
48336,0,475,1,9.0
928,0,0,0,2.0
0,0,0,0,0.0
576,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
1072,1,0,8,4.0
0,0,0,0,0.0
272,0,0,0,1.0
2000,0,0,1,4.0
336,0,0,0,1.0
496,0,0,0,2.0
0,0,0,0,0.0
8704,0,0,0,3.0
1216,0,0,0,1.0
352,0,0,0,2.0
112,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
112,0,0,0,1.0
1408,0,25,4,2.0
560,0,0,0,4.0
384,0,0,0,1.0
19664,0,0,3,6.0
48,0,0,0,1.0
80,0,0,0,2.0
2784,0,0,0,2.0
38448,0,200,6,3.0
0,0,0,0,0.0
0,0,0,0,0.0
304,0,0,0,1.0
224,0,0,0,2.0
9488,1,0,0,4.0
896,0,0,0,1.0
352,0,0,0,3.0
0,0,0,0,0.0
1312,0,0,0,3.0
3792,0,75,1,3.0
528,0,25,0,2.0
336,0,0,0,2.0
0,0,0,0,0.0
1488,0,0,1,1.0
0,0,0,0,0.0
224,0,0,0,1.0
64,0,0,0,1.0
432,0,0,0,1.0
336,0,0,0,3.0
96,0,0,0,1.0
544,0,0,0,1.0
1344,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
2128,2,0,2,4.0
320,0,0,0,2.0
0,0,0,0,0.0
1184,0,0,0,2.0
0,0,0,0,0.0
112,0,0,0,2.0
464,0,0,1,2.0
2480,0,0,0,3.0
160,0,0,0,1.0
336,0,0,0,2.0
2032,0,0,0,1.0
6752,1,150,7,13.0
0,0,0,0,0.0
144,0,0,0,1.0
0,0,0,0,0.0
752,0,125,2,2.0
0,0,0,0,0.0
