population,hospitals,mobilehomes,psubstations,tors
320,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
17520,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
1280,0,0,0,2.0
0,0,0,0,0.0
9296,0,0,0,1.0
0,0,0,0,0.0
464,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
848,0,25,0,1.0
3472,0,0,0,1.0
1232,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
2512,0,25,1,1.0
2304,0,0,0,1.0
5776,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
496,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
3792,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
672,0,0,0,3.0
0,0,0,0,0.0
1264,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
8272,0,25,1,4.0
0,0,0,0,0.0
16576,0,150,6,4.0
0,0,0,0,0.0
848,0,0,0,1.0
14736,0,0,0,1.0
0,0,0,0,0.0
80,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
1056,0,25,0,2.0
3280,0,150,1,2.0
0,0,0,0,0.0
48,0,0,0,1.0
0,0,0,0,0.0
1184,0,0,0,2.0
0,0,0,0,0.0
16,0,0,0,1.0
112,0,0,0,1.0
0,0,0,0,0.0
62960,2,225,3,2.0
48,0,0,0,1.0
1312,0,0,1,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
640,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
2000,0,0,0,3.0
416,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
720,0,0,0,1.0
1552,1,75,3,5.0
0,0,0,0,0.0
