sim,population,hospitals,mobilehomes,psubstations,tors
1,176,0,0,0,1.0
2,0,0,0,0,0.0
3,464,0,0,0,1.0
4,176,0,0,0,1.0
5,0,0,0,0,0.0
6,0,0,0,0,0.0
7,0,0,0,0,0.0
8,1664,0,0,0,1.0
9,160,0,0,0,1.0
10,46624,0,475,1,6.0
11,208,0,0,0,1.0
12,0,0,0,0,0.0
13,512,0,0,0,2.0
14,0,0,0,0,0.0
15,0,0,0,0,0.0
16,208,0,0,2,1.0
17,0,0,0,0,0.0
18,272,0,0,0,1.0
19,1280,0,0,1,5.0
20,528,0,0,0,2.0
21,432,0,0,0,1.0
22,0,0,0,0,0.0
23,160,0,0,0,1.0
24,0,0,0,0,0.0
25,176,0,0,0,1.0
26,112,0,0,0,1.0
27,0,0,0,0,0.0
28,0,0,0,0,0.0
29,0,0,0,0,0.0
30,608,0,25,4,1.0
31,880,0,0,0,4.0
32,384,0,0,0,1.0
33,19232,0,0,2,4.0
34,48,0,0,0,1.0
35,80,0,0,0,2.0
36,176,0,0,0,1.0
37,2512,0,0,0,1.0
38,0,0,0,0,0.0
39,0,0,0,0,0.0
40,400,0,0,0,2.0
41,80,0,0,0,1.0
42,9552,1,0,1,5.0
43,896,0,0,0,1.0
44,5792,1,75,1,4.0
45,720,0,0,0,2.0
46,1200,0,0,0,2.0
47,3792,0,75,1,3.0
48,336,0,25,0,1.0
49,336,0,0,0,2.0
50,0,0,0,0,0.0
51,1488,0,0,1,1.0
52,0,0,0,0,0.0
53,224,0,0,0,1.0
54,64,0,0,0,1.0
55,480,0,0,0,2.0
56,592,0,75,1,3.0
57,0,0,0,0,0.0
58,1024,0,0,0,4.0
59,1392,0,0,0,3.0
60,0,0,0,0,0.0
61,0,0,0,0,0.0
62,0,0,0,0,0.0
63,112,0,0,0,1.0
64,112,0,0,0,1.0
65,0,0,0,0,0.0
66,1184,0,25,0,4.0
67,0,0,0,0,0.0
68,48,0,0,0,1.0
69,352,0,0,0,1.0
70,1392,0,0,0,2.0
71,496,0,0,0,2.0
72,352,0,0,0,1.0
73,2032,0,0,0,1.0
74,5696,0,25,7,10.0
75,0,0,0,0,0.0
76,144,0,0,0,1.0
77,0,0,0,0,0.0
78,752,0,125,2,2.0
79,0,0,0,0,0.0
80,400,0,25,2,2.0
81,112,0,0,0,1.0
82,96,0,0,0,1.0
83,2336,0,100,5,3.0
84,0,0,0,0,0.0
85,528,0,0,0,1.0
86,416,0,0,0,3.0
87,144,0,0,0,1.0
88,496,1,0,2,1.0
89,1824,0,0,0,3.0
90,0,0,0,0,0.0
91,5760,3,0,1,8.0
92,464,0,0,0,1.0
93,0,0,0,0,0.0
94,22016,0,0,0,1.0
95,1904,0,100,0,3.0
96,0,0,0,0,0.0
97,480,0,0,0,1.0
98,448,0,0,0,2.0
99,0,0,0,0,0.0
100,0,0,0,0,0.0
101,272,0,0,0,3.0
102,0,0,0,0,0.0
103,1568,0,0,0,4.0
104,368,0,0,0,2.0
105,736,0,150,0,2.0
106,3840,0,0,1,4.0
107,304,0,75,0,2.0
108,0,0,0,0,0.0
109,448,0,0,0,3.0
110,752,0,0,1,2.0
111,64,1,0,0,1.0
112,0,0,0,0,0.0
113,0,0,0,0,0.0
114,2240,1,50,8,2.0
115,9904,0,25,2,4.0
116,448,0,0,0,1.0
117,256,0,0,1,2.0
118,0,0,0,0,0.0
119,576,0,0,0,1.0
120,1088,0,0,0,1.0
121,0,0,0,0,0.0
122,1296,0,0,0,2.0
123,144,0,0,0,1.0
124,960,0,25,0,5.0
125,0,0,0,0,0.0
126,0,0,0,0,0.0
127,176,0,0,0,1.0
128,368,0,0,1,1.0
129,0,0,0,0,0.0
130,0,0,0,0,0.0
131,208,0,0,0,1.0
132,672,0,0,0,1.0
133,0,0,0,0,0.0
134,128,0,0,0,1.0
135,112,0,0,0,2.0
136,0,0,0,0,0.0
137,6832,0,75,0,18.0
138,0,0,0,0,0.0
139,2144,0,0,1,4.0
140,336,0,25,0,2.0
141,496,0,0,0,1.0
142,64,0,0,0,1.0
143,31280,0,125,2,1.0
144,96,0,0,0,1.0
145,0,0,0,0,0.0
146,96,0,0,0,1.0
147,176,0,0,1,2.0
148,880,0,75,0,3.0
149,3168,0,0,1,1.0
150,1872,0,50,4,4.0
151,0,0,0,0,0.0
152,0,0,0,0,0.0
153,0,0,0,0,0.0
154,0,0,0,0,0.0
155,0,0,0,0,0.0
156,736,0,0,0,3.0
157,256,0,0,0,1.0
158,144,0,0,0,2.0
159,96,0,0,0,1.0
160,0,0,0,0,0.0
161,0,0,0,0,0.0
162,0,0,0,0,0.0
163,19232,0,500,1,11.0
164,1248,0,0,0,3.0
165,5264,0,0,0,9.0
166,1648,0,0,2,1.0
167,384,0,0,1,1.0
168,1168,0,0,0,3.0
169,144,0,0,0,1.0
170,17456,1,450,0,3.0
171,480,0,0,0,1.0
172,192,0,0,0,1.0
173,512,0,0,0,3.0
174,0,0,0,0,0.0
175,0,0,0,0,0.0
176,0,0,0,0,0.0
177,0,0,0,0,0.0
178,192,0,0,0,1.0
179,336,0,0,0,2.0
180,1088,0,0,0,3.0
181,0,0,0,0,0.0
182,416,0,25,0,2.0
183,0,0,0,0,0.0
184,0,0,0,0,0.0
185,128,0,0,0,1.0
186,384,0,25,0,3.0
187,176,0,0,0,1.0
188,960,0,0,0,2.0
189,0,0,0,0,0.0
190,672,0,0,0,1.0
191,288,0,0,0,1.0
192,0,0,0,0,0.0
193,64,0,0,0,1.0
194,144,0,0,0,1.0
195,0,0,0,0,0.0
196,0,0,0,0,0.0
197,0,0,0,0,0.0
198,0,0,0,0,0.0
199,176,0,0,0,1.0
200,0,0,0,0,0.0
201,256,0,0,0,1.0
202,0,0,0,0,0.0
203,0,0,0,0,0.0
204,0,0,0,0,0.0
205,448,0,0,0,2.0
206,0,0,0,0,0.0
207,0,0,0,0,0.0
208,0,0,0,0,0.0
209,768,0,0,1,2.0
210,96,0,0,0,1.0
211,336,0,0,0,1.0
212,41392,1,0,3,8.0
213,2784,0,0,0,1.0
214,0,0,0,0,0.0
215,0,0,0,0,0.0
216,1280,0,0,0,2.0
217,0,0,0,0,0.0
218,400,0,0,0,2.0
219,0,0,0,0,0.0
220,78400,3,0,4,6.0
221,208,0,0,0,3.0
222,3744,0,25,1,1.0
223,224,0,0,0,1.0
224,256,0,0,0,1.0
225,496,0,0,0,3.0
226,0,0,0,0,0.0
227,656,0,0,0,1.0
228,576,0,0,0,2.0
229,0,0,0,0,0.0
230,208,0,0,0,1.0
231,320,0,0,0,1.0
232,0,0,0,0,0.0
233,5344,0,0,0,4.0
234,208,0,0,0,1.0
235,0,0,0,0,0.0
236,1840,0,0,0,2.0
237,0,0,0,0,0.0
238,0,0,0,0,0.0
239,1024,0,150,4,2.0
240,688,0,0,1,3.0
241,784,0,0,0,2.0
242,1104,0,0,0,3.0
243,256,0,0,0,1.0
244,0,0,0,0,0.0
245,6272,2,150,4,2.0
246,64,0,0,0,1.0
247,64,0,0,0,1.0
248,0,0,0,0,0.0
249,240,0,0,0,1.0
250,1168,0,0,0,1.0
251,0,0,0,0,0.0
252,48,0,0,0,1.0
253,432,0,0,0,1.0
254,352,0,0,0,1.0
255,0,0,0,0,0.0
256,1296,0,0,0,1.0
257,0,0,0,0,0.0
258,0,0,0,0,0.0
259,1328,0,0,0,2.0
260,0,0,0,0,0.0
261,432,0,0,0,2.0
262,2640,0,0,0,1.0
263,304,0,0,0,2.0
264,0,0,0,0,0.0
265,0,0,0,0,0.0
266,1152,0,0,0,2.0
267,0,0,0,0,0.0
268,0,0,0,0,0.0
269,1024,0,0,0,2.0
270,0,0,0,0,0.0
271,240,0,0,0,2.0
272,1328,0,0,1,2.0
273,0,0,0,0,0.0
274,23776,0,0,1,4.0
275,11360,1,250,2,1.0
276,48,0,0,0,1.0
277,368,0,0,0,2.0
278,144,0,0,0,1.0
279,15040,0,125,0,3.0
280,224,0,0,0,1.0
281,0,0,0,0,0.0
282,0,0,0,0,0.0
283,0,0,0,0,0.0
284,128,0,0,0,1.0
285,224,0,0,0,1.0
286,0,0,0,0,0.0
287,192,0,0,0,1.0
288,96,0,0,0,1.0
289,128,0,0,1,1.0
290,128,0,0,0,1.0
291,0,0,0,0,0.0
292,0,0,0,0,0.0
293,336,0,0,0,1.0
294,1056,0,25,2,2.0
295,736,0,0,1,4.0
296,0,0,0,0,0.0
297,96,0,0,0,2.0
298,32,0,0,0,1.0
299,0,0,0,0,0.0
300,0,0,0,0,0.0
301,96,0,0,0,1.0
302,5536,2,150,4,2.0
303,0,0,0,0,0.0
304,80,0,0,1,1.0
305,1152,1,125,0,3.0
306,0,0,0,0,0.0
307,64,0,0,0,1.0
308,64,0,0,0,1.0
309,0,0,0,0,0.0
310,592,0,0,0,3.0
311,0,0,0,0,0.0
312,80,0,0,0,1.0
313,160,0,0,0,2.0
314,240,0,0,0,2.0
315,0,0,0,0,0.0
316,0,0,0,0,0.0
317,1504,1,0,0,4.0
318,0,0,0,0,0.0
319,928,0,0,0,4.0
320,0,0,0,0,0.0
321,0,0,0,0,0.0
