population,hospitals,mobilehomes,psubstations,tors
1488,0,0,0,4.0
0,0,0,0,0.0
80,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
640,0,250,0,3.0
224,0,0,0,2.0
96,0,0,0,1.0
5664,0,0,5,4.0
384,0,0,1,1.0
0,0,0,0,0.0
0,0,0,0,0.0
352,0,0,0,4.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
160,0,0,0,3.0
0,0,0,0,0.0
10080,1,325,0,5.0
0,0,0,0,0.0
1344,0,0,0,1.0
0,0,0,0,0.0
960,0,0,0,1.0
272,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
1008,0,0,0,3.0
0,0,0,0,0.0
496,0,0,0,2.0
144,0,0,0,1.0
13968,0,125,2,10.0
992,0,0,1,2.0
176,0,0,0,1.0
768,0,0,0,1.0
0,0,0,0,0.0
144,0,0,0,1.0
112,0,0,0,1.0
112,0,0,0,1.0
0,0,0,0,0.0
1232,0,0,0,1.0
0,0,0,0,0.0
352,0,0,0,4.0
176,0,0,0,1.0
416,0,0,0,1.0
0,0,0,0,0.0
24032,1,375,1,5.0
3776,0,0,0,1.0
0,0,0,0,0.0
2128,0,75,0,3.0
496,0,0,1,2.0
0,0,0,0,0.0
96,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
112,0,0,0,1.0
480,0,0,0,2.0
736,0,0,0,1.0
17088,0,0,1,7.0
4480,0,0,1,2.0
368,0,0,0,1.0
272,0,0,0,2.0
0,0,0,0,0.0
512,0,0,1,2.0
0,0,0,0,0.0
0,0,0,0,0.0
22464,0,0,1,3.0
0,0,0,0,0.0
0,0,0,0,0.0
640,0,0,0,1.0
6064,0,0,0,2.0
896,0,25,0,4.0
0,0,0,0,0.0
128,0,0,0,1.0
2432,0,25,0,7.0
2544,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
11904,0,0,0,3.0
0,0,0,0,0.0
64,0,0,0,1.0
2032,0,0,0,4.0
2864,1,25,3,4.0
4080,0,0,0,1.0
0,0,0,0,0.0
4736,0,0,0,3.0
368,0,0,1,1.0
0,0,0,0,0.0
0,0,0,0,0.0
832,0,0,0,2.0
8928,0,75,0,8.0
224,0,0,0,2.0
2080,0,0,1,2.0
0,0,0,0,0.0
944,0,0,4,2.0
48,0,0,0,1.0
736,0,50,0,2.0
12896,0,25,2,4.0
0,0,0,0,0.0
0,0,0,0,0.0
256,0,0,0,2.0
1104,0,0,0,2.0
96,0,0,0,1.0
32336,0,225,4,3.0
3504,0,0,0,2.0
848,0,0,0,4.0
0,0,0,0,0.0
0,0,0,0,0.0
1440,0,0,1,4.0
0,0,0,0,0.0
7360,0,0,0,1.0
720,0,0,0,1.0
0,0,0,0,0.0
64,0,0,0,1.0
96,0,0,0,1.0
1328,0,0,0,1.0
96,0,0,3,1.0
0,0,0,0,0.0
0,0,0,0,0.0
80,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
224,0,0,1,1.0
80,0,0,1,1.0
0,0,0,0,0.0
0,0,0,0,0.0
960,0,0,0,3.0
656,0,0,2,4.0
2144,0,25,3,1.0
1152,0,0,0,2.0
4848,0,25,0,6.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
288,0,0,0,1.0
0,0,0,0,0.0
4144,0,0,0,9.0
208,0,0,0,1.0
1520,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
816,0,125,0,2.0
2160,0,0,0,4.0
0,0,0,0,0.0
4400,0,0,1,1.0
960,0,0,0,2.0
0,0,0,0,0.0
3296,0,0,1,1.0
1104,0,0,1,1.0
0,0,0,0,0.0
192,0,0,0,1.0
0,0,0,0,0.0
1200,0,125,2,2.0
80,0,0,2,1.0
0,0,0,0,0.0
48,0,0,0,1.0
0,0,0,0,0.0
2736,0,0,2,2.0
0,0,0,0,0.0
0,0,0,0,0.0
66800,0,525,3,24.0
1648,0,0,0,3.0
8896,0,0,7,6.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
224,0,0,4,2.0
48,0,0,0,1.0
2960,1,0,0,5.0
352,0,50,0,1.0
192,0,0,0,2.0
0,0,0,0,0.0
352,0,0,0,1.0
1088,0,0,0,2.0
320,0,0,0,1.0
1280,1,25,1,5.0
1600,0,0,0,2.0
352,0,0,0,2.0
8656,0,0,0,1.0
448,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
3280,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
80,0,0,0,1.0
176,0,0,0,1.0
2704,0,0,0,2.0
816,0,25,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
464,0,0,0,1.0
1408,0,0,0,2.0
672,0,0,0,2.0
480,0,0,0,1.0
2336,0,25,0,5.0
0,0,0,0,0.0
10784,0,125,2,7.0
0,0,0,0,0.0
432,0,0,0,3.0
0,0,0,0,0.0
272,0,0,0,1.0
0,0,0,0,0.0
256,0,0,0,1.0
112,0,0,0,1.0
352,0,0,0,2.0
272,0,0,0,1.0
96,0,0,0,1.0
1728,1,0,1,5.0
112,0,0,0,1.0
464,0,0,0,2.0
240,0,0,0,2.0
960,0,0,0,3.0
0,0,0,0,0.0
64,0,0,0,1.0
0,0,0,0,0.0
3312,0,150,1,6.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
2368,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
672,0,0,0,1.0
160,0,0,0,1.0
128,0,0,0,1.0
912,0,0,0,2.0
384,0,0,0,1.0
0,0,0,0,0.0
2096,0,25,0,2.0
416,0,0,2,1.0
15536,0,0,4,3.0
496,0,0,1,2.0
0,0,0,0,0.0
224,1,0,0,2.0
1312,1,0,5,5.0
0,0,0,0,0.0
4240,0,0,0,4.0
0,0,0,0,0.0
192,0,0,1,2.0
160,0,0,0,1.0
0,0,0,0,0.0
