sim,population,hospitals,mobilehomes,psubstations,tors
1,9952,0,125,4,7.0
2,7888,0,0,0,2.0
3,130656,4,50,4,3.0
4,91616,0,450,19,4.0
5,77392,0,0,4,2.0
6,6192,0,250,0,7.0
7,224,0,0,0,2.0
8,352,0,0,0,3.0
9,8208,0,25,6,6.0
10,25408,0,0,3,12.0
11,720,0,0,0,1.0
12,2064,0,0,0,2.0
13,31440,0,125,1,5.0
14,1840,0,0,0,2.0
15,816,0,0,0,1.0
16,3680,1,0,6,6.0
17,16176,0,0,0,7.0
18,256,0,0,0,2.0
19,32240,1,350,2,16.0
20,0,0,0,0,0.0
21,1408,0,0,0,2.0
22,0,0,0,0,0.0
23,26912,0,0,1,4.0
24,1792,0,0,0,6.0
25,880,0,0,0,3.0
26,0,0,0,0,0.0
27,1008,0,0,0,3.0
28,38896,0,0,0,2.0
29,215136,3,0,0,3.0
30,17424,0,0,1,6.0
31,18480,0,125,6,19.0
32,992,0,0,1,2.0
33,672,0,0,1,4.0
34,2672,0,0,0,3.0
35,0,0,0,0,0.0
36,2752,0,0,0,2.0
37,55408,0,200,8,5.0
38,112,0,0,0,1.0
39,0,0,0,0,0.0
40,1760,0,0,0,3.0
41,3584,0,0,1,3.0
42,34000,1,0,6,8.0
43,1280,0,0,0,3.0
44,416,0,0,0,1.0
45,0,0,0,0,0.0
46,49088,1,550,2,11.0
47,12064,0,0,0,5.0
48,656,0,0,0,2.0
49,2256,0,75,0,4.0
50,496,0,0,1,2.0
51,0,0,0,0,0.0
52,34288,0,0,2,3.0
53,0,0,0,0,0.0
54,6384,0,0,0,1.0
55,69744,2,0,18,1.0
56,640,0,0,0,4.0
57,736,0,0,0,1.0
58,28704,0,200,2,9.0
59,19408,0,0,2,5.0
60,368,0,0,0,1.0
61,5648,0,0,2,5.0
62,3248,0,225,0,2.0
63,108224,2,0,3,9.0
64,208,0,0,0,1.0
65,0,0,0,0,0.0
66,24208,0,0,1,6.0
67,0,0,0,0,0.0
68,144,0,75,0,2.0
69,1632,0,0,7,4.0
70,7904,0,0,0,7.0
71,4160,1,25,0,6.0
72,512,0,0,0,3.0
73,9168,0,0,0,3.0
74,14752,1,225,2,16.0
75,2768,0,0,0,2.0
76,608,0,0,0,1.0
77,2592,0,0,3,3.0
78,0,0,0,0,0.0
79,11904,0,0,0,3.0
80,1696,0,0,0,2.0
81,432,0,0,0,3.0
82,10416,0,0,1,9.0
83,4752,1,25,3,8.0
84,47296,0,0,0,5.0
85,1440,0,0,0,2.0
86,18416,0,0,1,5.0
87,1648,0,0,1,3.0
88,3152,0,0,3,2.0
89,96,0,0,0,1.0
90,3184,0,0,0,4.0
91,184832,11,75,22,23.0
92,224,0,0,0,2.0
93,6192,0,0,1,9.0
94,96,0,0,0,1.0
95,3504,3,25,4,6.0
96,4096,1,0,3,4.0
97,1408,0,50,0,7.0
98,20736,0,25,8,12.0
99,4384,0,0,0,3.0
100,0,0,0,0,0.0
101,3344,0,75,1,7.0
102,1104,0,0,0,2.0
103,2688,0,0,0,3.0
104,32704,0,225,4,6.0
105,6800,0,50,7,6.0
106,4112,1,0,3,6.0
107,1168,0,0,1,2.0
108,0,0,0,0,0.0
109,32976,0,0,3,10.0
110,17152,0,100,1,2.0
111,8112,0,0,0,2.0
112,8112,0,0,7,4.0
113,2544,0,0,0,1.0
114,65600,2,50,11,4.0
115,5808,2,0,3,5.0
116,1728,0,0,0,3.0
117,96,0,0,3,1.0
118,0,0,0,0,0.0
119,0,0,0,0,0.0
120,80,0,0,0,1.0
121,496,0,0,0,1.0
122,0,0,0,0,0.0
123,224,0,0,1,1.0
124,2032,0,0,1,4.0
125,0,0,0,0,0.0
126,112,0,0,0,1.0
127,2400,0,0,0,5.0
128,1216,0,75,3,6.0
129,2496,0,25,3,2.0
130,1392,0,0,0,5.0
131,14240,1,25,0,10.0
132,0,0,0,0,0.0
133,1952,0,0,1,2.0
134,19504,0,0,0,3.0
135,576,0,0,0,2.0
136,160,0,0,0,1.0
137,89200,1,625,1,28.0
138,29200,0,0,1,3.0
139,14752,0,75,0,13.0
140,1392,0,0,1,3.0
141,368,0,0,0,1.0
142,5600,0,475,2,1.0
143,0,0,0,0,0.0
144,1184,0,125,0,4.0
145,13008,0,0,1,10.0
146,160,0,0,0,1.0
147,5472,0,0,1,3.0
148,5840,0,100,3,11.0
149,0,0,0,0,0.0
150,4944,0,150,1,4.0
151,1552,0,0,1,3.0
152,0,0,0,0,0.0
153,192,0,0,0,1.0
154,672,0,0,1,2.0
155,1200,0,125,2,2.0
156,80,0,0,2,1.0
157,0,0,0,0,0.0
158,800,0,0,1,3.0
159,0,0,0,0,0.0
160,23328,0,0,6,4.0
161,2976,0,0,1,6.0
162,704,0,0,0,1.0
163,112800,1,750,8,48.0
164,3104,0,0,0,5.0
165,25424,0,125,7,17.0
166,0,0,0,0,0.0
167,528,0,0,0,1.0
168,1200,0,0,0,2.0
169,1264,1,75,2,3.0
170,3616,0,0,10,6.0
171,3088,0,0,0,3.0
172,6000,1,0,2,8.0
173,5376,0,100,0,5.0
174,248720,7,0,3,4.0
175,1136,0,0,0,2.0
176,16464,0,75,0,5.0
177,1504,0,0,0,4.0
178,2256,0,0,0,2.0
179,22016,2,100,7,14.0
180,107808,6,0,4,7.0
181,816,0,0,2,5.0
182,8656,0,0,0,1.0
183,1920,0,0,0,2.0
184,160,0,0,0,2.0
185,48,0,0,0,1.0
186,12128,0,0,0,5.0
187,192,0,0,0,2.0
188,12368,0,225,0,1.0
189,400,0,0,0,3.0
190,496,0,0,0,3.0
191,2704,0,0,0,2.0
192,864,0,25,0,4.0
193,0,0,0,0,0.0
194,0,0,0,0,0.0
195,464,0,0,0,1.0
196,1408,0,0,0,2.0
197,704,0,0,0,3.0
198,1664,0,0,0,2.0
199,70384,1,25,3,9.0
200,96,0,0,0,1.0
201,199200,4,125,5,11.0
202,1440,0,0,0,2.0
203,560,0,0,0,4.0
204,512,0,0,0,1.0
205,9744,0,200,0,7.0
206,0,0,0,0,0.0
207,4928,0,0,0,5.0
208,2064,0,0,0,5.0
209,352,0,0,0,2.0
210,992,0,0,0,2.0
211,96,0,0,0,1.0
212,239904,4,0,6,18.0
213,496,0,0,0,2.0
214,1056,0,0,1,3.0
215,240,0,0,0,2.0
216,5968,0,0,0,7.0
217,0,0,0,0,0.0
218,2560,0,550,3,3.0
219,336,0,0,0,2.0
220,4496,0,150,1,7.0
221,0,0,0,0,0.0
222,6944,0,0,0,3.0
223,38496,1,0,3,1.0
224,37520,2,150,0,4.0
225,1120,0,0,0,4.0
226,464,0,0,0,1.0
227,464,0,0,0,1.0
228,944,0,0,0,1.0
229,768,0,0,0,2.0
230,160,0,0,0,1.0
231,624,0,0,2,3.0
232,3280,0,75,0,7.0
233,78272,2,125,4,5.0
234,0,0,0,0,0.0
235,2608,0,25,0,4.0
236,2720,0,0,2,4.0
237,41312,1,150,5,9.0
238,896,0,0,1,3.0
239,0,0,0,0,0.0
240,28560,1,25,4,4.0
241,4656,1,0,5,14.0
242,9072,0,200,0,4.0
243,6864,0,0,2,10.0
244,3488,0,0,0,1.0
245,12640,0,0,1,5.0
246,160,0,0,0,1.0
247,34768,0,0,1,2.0
248,0,0,0,0,0.0
249,672,0,0,0,2.0
250,24304,0,425,0,5.0
251,0,0,0,0,0.0
252,1984,0,0,0,4.0
253,336,0,0,0,1.0
254,3904,0,0,0,4.0
255,28496,1,50,10,7.0
256,48,0,0,0,1.0
257,13504,0,25,2,2.0
258,320,0,0,0,2.0
259,112,0,0,0,1.0
260,9616,0,175,1,3.0
261,1504,0,0,0,1.0
262,3520,0,0,0,2.0
263,32288,0,25,2,9.0
264,832,1,150,6,2.0
265,0,0,0,0,0.0
266,25824,0,275,6,4.0
267,336,0,0,4,3.0
268,1936,0,0,0,2.0
269,3888,0,0,3,4.0
270,0,0,0,0,0.0
271,4880,0,0,6,9.0
272,5424,2,200,10,9.0
273,576,0,0,0,1.0
274,0,0,0,0,0.0
275,1312,0,0,0,1.0
276,13040,0,25,3,5.0
277,10640,0,0,1,4.0
278,1152,0,0,0,3.0
279,1120,0,0,0,2.0
280,9872,0,200,3,4.0
281,1840,0,0,0,4.0
282,672,0,0,5,1.0
283,368864,10,200,10,3.0
284,2288,0,0,2,3.0
285,1712,0,0,0,7.0
286,912,0,125,0,2.0
287,1472,0,0,0,2.0
288,5184,0,0,0,2.0
289,60320,0,0,21,2.0
290,11552,0,0,0,4.0
291,1712,0,125,1,3.0
292,1808,0,0,2,6.0
293,19136,0,0,0,5.0
294,71776,1,125,2,6.0
295,672,0,0,0,4.0
296,32,0,0,0,1.0
297,18352,0,0,1,8.0
298,11984,1,0,0,4.0
299,1008,0,0,2,3.0
