population,hospitals,mobilehomes,psubstations,tors
272,0,0,0,1.0
0,0,0,0,0.0
384,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
1584,0,0,0,1.0
224,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
2192,0,0,2,5.0
208,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
144,0,75,0,2.0
384,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
2240,0,0,0,2.0
1168,0,0,2,2.0
0,0,0,0,0.0
15264,1,100,2,4.0
688,0,0,1,2.0
0,0,0,0,0.0
0,0,0,0,0.0
864,0,0,0,3.0
0,0,0,0,0.0
848,0,0,0,1.0
864,0,0,0,3.0
0,0,0,0,1.0
480,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
112,0,0,0,1.0
144,0,0,0,1.0
240,0,0,0,1.0
400,0,25,0,1.0
928,0,0,0,2.0
336,0,0,0,2.0
0,0,0,0,0.0
336,0,0,0,1.0
1408,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
880,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
128,0,0,0,1.0
144,0,0,0,1.0
0,0,0,0,0.0
1056,0,150,0,4.0
288,0,0,0,1.0
0,0,0,0,0.0
2224,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
80,0,0,0,1.0
7472,0,0,1,1.0
640,0,0,0,3.0
400,0,0,1,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
6704,0,50,0,2.0
176,0,75,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
112,0,0,0,1.0
8576,1,50,1,2.0
0,0,0,0,0.0
144,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
432,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
2352,1,0,9,2.0
2992,0,0,1,1.0
0,0,0,0,0.0
992,0,0,0,3.0
0,0,0,0,0.0
1296,1,0,1,5.0
0,0,0,0,0.0
1120,0,0,0,4.0
0,0,0,0,0.0
80,0,0,0,1.0
48,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
48,0,0,0,1.0
112,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
80,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
2704,0,0,1,3.0
0,0,0,0,0.0
1072,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
14384,1,100,7,12.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
1232,0,0,0,3.0
0,0,0,0,0.0
896,1,0,1,3.0
1520,1,0,2,6.0
0,0,0,0,0.0
0,0,0,0,0.0
592,0,125,0,2.0
1376,0,0,1,1.0
0,0,0,0,0.0
176,0,0,0,1.0
0,0,0,0,0.0
112,0,0,0,1.0
1552,1,100,0,4.0
192,0,0,0,1.0
0,0,0,0,0.0
1552,0,0,0,7.0
64,0,0,0,1.0
