sim,population,hospitals,mobilehomes,psubstations,tors
1,96,0,0,0,1.0
2,0,0,0,0,1.0
3,0,0,0,0,0.0
4,2432,0,0,0,2.0
5,0,0,0,0,0.0
6,0,0,0,0,0.0
7,0,0,0,0,0.0
8,0,0,0,0,1.0
9,1088,0,0,3,2.0
10,208,0,0,0,2.0
11,0,0,0,0,0.0
12,0,0,0,0,0.0
13,0,0,0,0,0.0
14,0,0,0,0,0.0
15,0,0,0,0,0.0
16,0,0,0,0,1.0
17,0,0,0,0,0.0
18,0,0,0,0,0.0
19,1584,0,0,4,5.0
20,0,0,0,0,0.0
21,0,0,0,0,0.0
22,0,0,0,0,0.0
23,0,0,0,0,0.0
24,112,0,0,0,1.0
25,544,0,0,0,2.0
26,0,0,0,0,0.0
27,0,0,0,0,0.0
28,64,0,0,0,2.0
29,0,0,0,0,0.0
30,480,0,0,2,2.0
31,144,0,0,0,2.0
32,0,0,0,0,0.0
33,448,0,0,0,1.0
34,2528,0,0,1,1.0
35,464,0,0,0,1.0
36,0,0,0,0,0.0
37,192,0,0,0,1.0
38,0,0,0,0,0.0
39,0,0,0,0,0.0
40,0,0,0,0,0.0
41,80,0,0,0,1.0
42,3152,0,125,1,5.0
43,32,0,0,0,1.0
44,0,0,0,0,0.0
45,0,0,0,0,0.0
46,13264,0,25,4,2.0
47,464,0,0,1,1.0
48,0,0,0,0,0.0
49,0,0,0,0,0.0
50,0,0,0,0,0.0
51,0,0,0,0,0.0
52,608,0,0,0,1.0
53,32,0,0,1,1.0
54,0,0,0,0,0.0
55,1296,0,25,0,1.0
56,528,0,0,0,3.0
57,0,0,0,0,0.0
58,656,1,0,1,5.0
59,768,0,0,0,2.0
60,0,0,0,0,0.0
61,0,0,0,0,0.0
62,192,0,0,0,1.0
63,2864,0,25,0,2.0
64,0,0,0,0,0.0
65,0,0,0,0,0.0
66,0,0,0,0,0.0
67,0,0,0,0,0.0
68,336,0,0,0,1.0
69,0,0,0,0,0.0
70,0,0,0,0,0.0
71,24864,1,150,4,1.0
72,0,0,0,0,0.0
73,4448,0,0,0,2.0
74,2304,0,0,0,2.0
75,0,0,0,0,0.0
76,0,0,0,0,0.0
77,0,0,0,0,1.0
78,0,0,0,0,0.0
79,608,0,0,1,2.0
80,0,0,0,0,0.0
81,1456,0,100,0,1.0
82,5120,0,25,4,3.0
83,224,0,0,0,1.0
84,320,0,0,0,2.0
85,0,0,0,0,0.0
86,448,0,0,0,1.0
87,0,0,0,0,0.0
88,208,0,50,0,1.0
89,96,0,0,0,2.0
90,0,0,0,0,0.0
91,2080,0,0,0,3.0
92,80,0,0,0,1.0
93,3104,0,0,1,1.0
94,1504,0,0,0,1.0
95,0,0,0,0,0.0
96,0,0,0,0,0.0
97,0,0,0,0,0.0
98,4064,0,175,1,6.0
99,0,0,0,0,0.0
100,0,0,0,0,0.0
101,272,0,0,0,1.0
102,0,0,0,0,0.0
103,16,0,0,0,1.0
104,816,0,0,0,2.0
105,0,0,0,0,0.0
106,160,0,0,2,3.0
107,6864,1,300,19,1.0
108,0,0,0,0,0.0
109,448,0,0,2,4.0
110,576,0,0,0,2.0
111,0,0,0,0,0.0
112,192,0,0,0,1.0
113,0,0,0,0,0.0
