population,hospitals,mobilehomes,psubstations,tors
0,0,0,0,0.0
0,0,0,0,0.0
130576,4,50,4,2.0
91584,0,450,19,3.0
75872,0,0,4,1.0
5200,0,0,0,2.0
0,0,0,0,0.0
208,0,0,0,1.0
0,0,0,0,0.0
256,0,0,0,3.0
0,0,0,0,0.0
320,0,0,0,1.0
31088,0,125,1,1.0
1552,0,0,0,1.0
0,0,0,0,0.0
2816,0,0,0,3.0
14656,0,0,0,1.0
0,0,0,0,0.0
15472,0,0,0,5.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
18624,0,0,3,3.0
128,0,0,0,2.0
320,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
20128,0,0,0,1.0
0,0,0,0,0.0
16416,0,0,0,3.0
5168,0,0,4,5.0
0,0,0,0,0.0
384,0,0,1,2.0
1904,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
3312,0,0,1,1.0
33168,1,0,6,3.0
128,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
1840,0,0,0,1.0
896,0,0,0,2.0
464,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
34144,0,0,2,1.0
0,0,0,0,0.0
6384,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
720,0,0,0,1.0
11952,0,200,1,3.0
14832,0,0,1,2.0
0,0,0,0,0.0
3632,0,0,2,2.0
176,0,125,0,1.0
512,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
80,0,75,0,1.0
0,0,0,0,0.0
176,0,0,0,2.0
3136,0,0,0,1.0
176,0,0,0,1.0
1280,0,0,0,1.0
5616,0,75,2,4.0
6816,0,0,0,1.0
0,0,0,0,0.0
2240,0,0,3,2.0
2000,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
64,0,0,0,1.0
6864,0,0,0,2.0
0,0,0,0,0.0
40032,0,0,0,1.0
0,0,0,0,0.0
17696,0,0,1,3.0
0,0,0,0,0.0
32,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
24032,0,0,3,5.0
0,0,0,0,0.0
2624,0,0,0,3.0
96,0,0,0,1.0
0,0,0,0,0.0
3712,1,0,1,1.0
304,0,0,0,2.0
944,0,0,2,3.0
4208,0,0,0,2.0
0,0,0,0,0.0
128,0,75,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
128,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
23152,0,0,1,2.0
17072,0,100,0,1.0
0,0,0,0,0.0
7360,0,0,7,2.0
2544,0,0,0,1.0
63360,1,0,3,2.0
0,0,0,0,0.0
80,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
496,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
352,0,0,0,1.0
0,0,0,0,0.0
112,0,0,0,1.0
560,0,0,0,1.0
560,0,75,1,2.0
29936,0,675,4,1.0
0,0,0,0,0.0
9232,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
19296,0,0,0,2.0
0,0,0,0,0.0
160,0,0,0,1.0
78160,0,300,0,8.0
38336,0,0,2,2.0
2272,0,0,0,6.0
496,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
9680,0,0,1,1.0
0,0,0,0,0.0
400,0,0,0,1.0
2736,0,0,2,4.0
0,0,0,0,0.0
0,0,0,0,0.0
384,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
496,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
448,0,0,0,1.0
0,0,0,0,0.0
2160,0,0,2,1.0
960,0,0,0,2.0
0,0,0,0,0.0
6400,0,0,1,9.0
320,0,0,0,1.0
4784,0,25,0,8.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
560,1,75,1,2.0
3152,0,0,5,2.0
2544,0,0,0,1.0
3280,0,125,5,3.0
4032,0,25,0,1.0
248528,7,0,3,2.0
400,0,0,0,1.0
208,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
18768,1,75,6,5.0
100688,4,0,3,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
96,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
144,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
272,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
32,0,0,0,1.0
1184,0,0,0,1.0
66960,1,0,3,2.0
0,0,0,0,0.0
188352,4,0,3,3.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
3424,0,0,0,1.0
1696,0,0,0,2.0
176,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
138640,3,0,3,7.0
384,0,0,0,1.0
592,0,0,1,1.0
0,0,0,0,0.0
560,0,0,0,1.0
0,0,0,0,0.0
96,0,0,1,1.0
208,0,0,0,2.0
1184,0,0,0,1.0
0,0,0,0,0.0
6160,0,0,0,1.0
38496,1,0,3,1.0
37216,2,150,0,2.0
48,0,0,0,1.0
0,0,0,0,0.0
464,0,0,0,1.0
944,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
176,0,0,0,1.0
30512,0,125,2,1.0
0,0,0,0,0.0
0,0,0,0,0.0
528,0,0,0,1.0
25616,1,150,1,4.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
688,0,0,1,3.0
5824,0,200,0,3.0
1136,0,0,0,3.0
3488,0,0,0,1.0
1280,0,0,0,1.0
0,0,0,0,0.0
10080,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
304,0,0,0,1.0
0,0,0,0,0.0
288,0,0,0,2.0
0,0,0,0,0.0
64,0,0,0,1.0
4336,0,0,1,3.0
0,0,0,0,0.0
13456,0,25,2,1.0
0,0,0,0,0.0
0,0,0,0,0.0
8640,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
512,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
24912,0,0,0,1.0
224,0,0,2,2.0
64,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
1552,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
2848,0,0,0,1.0
9840,0,0,1,1.0
416,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
1680,0,0,0,3.0
0,0,0,0,0.0
368240,10,200,10,1.0
512,0,0,0,1.0
528,0,0,0,4.0
544,0,125,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
60272,0,0,21,1.0
10096,0,0,0,1.0
896,0,0,0,1.0
0,0,0,0,0.0
3952,0,0,0,1.0
70208,1,125,2,3.0
256,0,0,0,2.0
128,0,0,0,1.0
12656,0,0,4,3.0
3552,1,125,4,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
160,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
1376,0,0,0,2.0
192,0,0,0,1.0
13648,0,25,3,3.0
7504,0,100,0,2.0
384,0,0,0,1.0
0,0,0,0,0.0
1936,0,0,0,1.0
1408,0,0,0,1.0
208,0,75,0,2.0
8720,0,0,0,5.0
0,0,0,0,0.0
864,0,25,6,2.0
1792,0,0,0,1.0
