population,hospitals,mobilehomes,psubstations,tors
4112,0,0,2,2.0
0,0,0,0,0.0
0,0,0,0,0.0
864,0,0,0,3.0
544,0,0,0,2.0
992,0,0,1,5.0
2608,0,0,1,2.0
0,0,0,0,0.0
2880,0,0,2,4.0
19952,0,0,3,7.0
0,0,0,0,0.0
1744,0,0,0,1.0
112,0,0,0,2.0
288,0,0,0,1.0
832,0,0,0,2.0
544,0,0,0,1.0
3872,0,0,1,8.0
160,0,0,0,1.0
1024,0,25,2,4.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
11504,1,250,2,3.0
1808,1,0,0,5.0
432,0,0,0,2.0
2816,0,0,2,2.0
0,0,0,0,0.0
144,0,0,0,1.0
2752,0,0,0,2.0
188464,12,0,10,3.0
17536,0,0,0,4.0
0,0,0,0,0.0
0,0,0,0,0.0
1088,1,125,1,3.0
0,0,0,0,0.0
144,0,0,0,1.0
19360,0,0,2,2.0
16,0,0,0,1.0
0,0,0,0,0.0
2256,2,0,0,2.0
192,0,0,0,2.0
256,1,250,6,2.0
1024,0,0,0,2.0
2480,0,25,6,3.0
160,0,0,0,1.0
24816,0,175,1,6.0
7952,0,0,1,3.0
0,0,0,0,0.0
432,0,0,1,2.0
0,0,0,0,0.0
0,0,0,0,0.0
160,0,0,0,2.0
176,0,0,0,1.0
896,0,0,1,1.0
400,0,0,0,2.0
864,0,0,2,4.0
0,0,0,0,0.0
4512,0,25,1,4.0
0,0,0,0,0.0
544,0,0,0,2.0
1744,0,0,0,1.0
30992,0,100,3,4.0
1408,0,0,1,4.0
0,0,0,0,0.0
0,0,0,0,0.0
1120,0,0,0,4.0
96,0,75,1,1.0
80,0,0,0,1.0
576,0,0,6,2.0
400,0,0,0,1.0
0,0,0,0,0.0
704,0,0,1,3.0
12096,0,125,0,4.0
20912,0,350,1,9.0
4336,0,75,0,2.0
0,0,0,0,0.0
1040,0,0,0,4.0
0,0,0,0,0.0
1424,0,0,5,1.0
1696,0,0,0,2.0
0,0,0,0,0.0
1568,0,0,1,3.0
608,0,0,0,4.0
1888,0,0,0,2.0
1392,0,0,0,2.0
7936,1,25,2,6.0
3264,0,0,0,4.0
0,0,0,0,0.0
0,0,0,0,0.0
944,0,0,0,1.0
148528,11,50,18,11.0
0,0,0,0,0.0
14384,1,250,2,4.0
0,0,0,0,0.0
2256,2,175,0,3.0
1104,0,200,1,2.0
80,0,0,0,2.0
20928,0,350,4,8.0
224,0,0,0,2.0
0,0,0,0,0.0
1936,0,25,2,4.0
80,0,0,0,1.0
2576,0,0,1,2.0
28768,0,75,0,5.0
3168,0,50,7,3.0
112,0,0,0,1.0
112,0,0,0,1.0
96,0,0,0,1.0
2608,0,0,3,4.0
2432,0,0,2,2.0
240,0,0,0,1.0
720,0,0,0,2.0
0,0,0,0,0.0
144,0,0,0,1.0
544,1,0,1,4.0
0,0,0,0,0.0
0,0,0,0,0.0
736,0,0,0,1.0
0,0,0,0,0.0
2912,0,100,0,1.0
64,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
1920,0,100,4,3.0
64,0,0,0,1.0
448,0,0,0,3.0
1120,0,0,0,3.0
0,0,0,0,0.0
592,0,0,0,2.0
992,0,0,0,3.0
2960,0,0,1,5.0
5536,0,25,0,1.0
1552,0,0,1,3.0
0,0,0,0,0.0
656,0,25,2,3.0
256,0,0,0,2.0
20160,1,700,9,22.0
112,0,0,0,1.0
20656,0,325,1,5.0
1536,0,25,1,2.0
512,0,0,0,3.0
5600,0,475,2,1.0
0,0,0,0,0.0
50448,0,0,1,4.0
10352,0,150,1,5.0
464,0,0,2,3.0
672,0,0,0,1.0
2192,0,100,1,4.0
128,0,0,0,1.0
2256,0,225,1,3.0
0,0,0,0,0.0
192,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
4464,0,125,1,3.0
8208,0,25,1,4.0
0,0,0,0,0.0
448,0,0,0,1.0
0,0,0,0,0.0
18880,0,0,3,2.0
1568,0,0,0,3.0
0,0,0,0,0.0
54048,1,300,19,26.0
3280,0,0,0,5.0
13296,0,100,5,11.0
0,0,0,0,0.0
0,0,0,0,0.0
384,0,0,0,2.0
0,0,0,0,0.0
400,0,0,0,1.0
496,0,0,0,1.0
2944,0,0,0,4.0
7392,0,200,1,4.0
0,0,0,0,0.0
2048,0,0,0,1.0
368,0,0,0,1.0
608,0,0,0,4.0
5088,0,150,2,3.0
2304,0,0,0,5.0
1872,0,25,2,4.0
304,0,0,2,2.0
160,0,0,0,2.0
1472,0,0,0,1.0
0,0,0,0,0.0
48,0,0,0,1.0
9104,0,0,0,4.0
752,0,0,0,1.0
12992,0,225,0,2.0
480,0,0,0,1.0
1664,0,75,1,2.0
1664,0,25,0,1.0
