population,hospitals,mobilehomes,psubstations,tors
352,0,0,0,1.0
0,0,0,0,0.0
48,0,0,0,2.0
0,0,0,0,0.0
1248,0,0,0,2.0
256,0,0,1,3.0
928,0,0,3,3.0
128,0,0,0,1.0
1600,0,0,1,4.0
336,0,0,0,1.0
128,0,0,0,1.0
352,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,1.0
656,0,0,0,1.0
2336,0,0,2,1.0
32,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
1360,0,0,0,2.0
0,0,0,0,1.0
608,0,0,1,1.0
32,0,0,0,1.0
1184,0,0,0,1.0
3232,0,125,4,7.0
272,0,0,0,2.0
1440,0,25,1,1.0
0,0,0,0,0.0
0,0,0,0,0.0
3088,0,0,1,1.0
0,0,0,0,0.0
320,0,0,0,1.0
0,0,0,0,1.0
592,0,0,0,3.0
0,0,0,0,0.0
1376,1,50,3,2.0
2208,0,250,0,2.0
1760,0,0,0,3.0
3536,0,25,0,1.0
784,0,0,0,3.0
496,0,25,0,2.0
16,0,0,0,1.0
256,0,0,0,1.0
4144,0,25,0,2.0
0,0,0,0,0.0
304,1,75,2,2.0
0,0,0,0,0.0
1248,0,0,1,2.0
944,0,0,0,3.0
0,0,0,0,0.0
45504,2,25,0,1.0
864,0,0,2,2.0
6880,2,275,2,3.0
224,1,75,2,2.0
624,0,0,0,1.0
3584,0,50,2,4.0
896,0,0,0,3.0
0,0,0,0,0.0
1120,0,0,0,3.0
2320,0,0,0,3.0
0,0,0,0,0.0
4240,0,0,0,6.0
0,0,0,0,0.0
336,0,0,0,2.0
160,0,0,0,2.0
576,0,0,0,3.0
0,0,0,0,1.0
2608,0,0,0,3.0
272,0,0,0,1.0
0,0,0,0,0.0
48,0,0,0,1.0
0,0,0,0,0.0
80,0,0,0,1.0
464,0,0,0,3.0
480,0,0,0,3.0
0,0,0,0,0.0
880,1,25,3,1.0
816,0,0,2,2.0
0,0,0,0,0.0
2400,0,0,1,3.0
