population,hospitals,mobilehomes,psubstations,tors
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
1536,0,0,0,3.0
0,0,0,0,1.0
16,0,0,0,1.0
0,0,0,0,0.0
48,0,0,1,2.0
0,0,0,0,0.0
0,0,0,0,5.0
3488,0,25,0,1.0
16,0,0,2,5.0
64,0,0,0,5.0
6304,0,0,1,1.0
80,0,0,0,1.0
0,0,0,0,0.0
0,0,0,2,5.0
16,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
96,0,0,1,5.0
0,0,0,0,1.0
16,0,0,0,1.0
0,0,0,0,0.0
16,0,0,0,6.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
32,0,0,0,1.0
2480,0,0,3,1.0
1056,0,150,10,1.0
0,0,0,2,4.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,1.0
1360,1,0,0,3.0
0,0,0,0,0.0
0,0,0,1,1.0
144,0,0,1,3.0
16,0,0,0,3.0
592,1,50,1,6.0
0,0,0,1,1.0
0,0,0,0,0.0
0,0,0,0,1.0
4160,0,500,0,2.0
0,0,0,1,3.0
0,0,0,1,1.0
0,0,0,0,1.0
16,0,0,0,1.0
32,0,0,0,2.0
0,0,0,0,3.0
0,0,0,0,1.0
0,0,0,0,0.0
16,0,0,0,3.0
0,0,0,0,1.0
6592,0,0,0,3.0
288,0,0,1,2.0
1472,0,0,0,7.0
0,0,0,0,1.0
0,0,0,0,1.0
64,0,0,0,4.0
64,0,0,1,4.0
160,0,0,1,2.0
0,0,0,0,0.0
0,0,0,0,2.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,3.0
16,0,0,5,10.0
0,0,0,0,0.0
1392,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
224,0,0,0,2.0
0,0,0,0,0.0
208,0,0,0,1.0
0,0,0,0,2.0
0,0,0,0,1.0
80,0,0,1,7.0
16,0,0,0,2.0
0,0,0,0,3.0
0,0,0,0,0.0
29200,0,0,0,1.0
0,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
42288,0,0,2,3.0
0,0,0,0,0.0
16,0,0,1,1.0
352,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,4.0
4272,0,125,1,3.0
0,0,0,1,1.0
16,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,0.0
736,0,0,1,1.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
176,0,0,0,1.0
0,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
16,0,0,0,2.0
0,0,0,0,1.0
0,0,0,0,0.0
16,0,0,0,2.0
96,0,0,0,6.0
48,0,0,1,2.0
32,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
336,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,3.0
0,0,0,0,1.0
16,0,0,0,1.0
80,0,0,0,4.0
0,0,0,0,0.0
48,0,0,0,1.0
0,0,0,0,0.0
27536,0,0,1,7.0
336,0,0,1,3.0
0,0,0,0,6.0
0,0,0,0,0.0
0,0,0,0,4.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
16,0,0,0,2.0
240,0,0,1,1.0
0,0,0,0,0.0
48,0,0,0,3.0
144,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,3.0
16,2,400,0,5.0
0,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,3.0
0,0,0,0,0.0
5776,0,75,0,4.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,2.0
16,0,0,0,4.0
0,0,0,0,2.0
608,1,0,1,6.0
0,0,0,0,2.0
0,0,0,0,1.0
112,0,0,0,1.0
0,0,0,1,2.0
0,0,0,0,0.0
32,0,0,2,6.0
64,0,0,0,4.0
0,0,0,0,0.0
9584,0,0,1,4.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
352,1,50,0,2.0
0,0,0,0,2.0
112,0,0,0,3.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,4.0
0,0,0,1,1.0
2112,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
80,0,0,2,3.0
0,0,0,0,0.0
0,0,0,0,3.0
0,0,0,0,2.0
12176,0,25,4,3.0
16,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,2.0
0,0,0,0,2.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
48,0,0,0,1.0
48,0,0,1,1.0
0,0,0,0,4.0
0,0,0,0,5.0
0,0,0,0,0.0
0,0,0,0,0.0
320,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,2.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,1,2.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,1.0
48,0,0,0,5.0
0,0,0,0,1.0
0,0,0,0,0.0
48,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,2.0
2240,1,0,0,2.0
0,0,0,0,0.0
384,0,125,1,3.0
16,0,0,3,3.0
0,0,0,0,0.0
352,2,400,1,5.0
0,0,0,0,1.0
128,0,0,1,8.0
64,0,0,1,5.0
32,0,0,1,4.0
16,0,0,0,3.0
0,0,0,0,1.0
16,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,1.0
160,0,0,0,1.0
0,0,0,0,2.0
2208,0,0,4,2.0
0,0,0,0,1.0
64,0,0,1,3.0
208,0,0,0,1.0
496,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,1,1.0
48,0,0,0,3.0
320,0,0,1,3.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,3.0
16,0,0,0,1.0
64,0,0,0,3.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
32,0,0,0,2.0
16,0,0,0,1.0
48,0,0,2,3.0
0,0,0,0,0.0
0,0,0,1,1.0
1504,0,725,4,4.0
352,0,225,1,3.0
0,0,0,0,0.0
32,0,0,2,3.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,0.0
16,0,0,0,3.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
6032,0,1000,6,5.0
0,0,0,0,1.0
0,0,0,0,1.0
32,0,0,1,3.0
32,0,0,0,4.0
0,0,0,0,0.0
0,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
16,0,0,1,1.0
0,0,0,0,0.0
0,0,0,0,0.0
112,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
37440,0,175,4,2.0
0,0,0,0,2.0
0,0,0,0,0.0
352,0,250,0,2.0
16,0,0,0,2.0
0,0,0,0,0.0
12320,0,500,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
