sim,population,hospitals,mobilehomes,psubstations,tors
1,1360,0,0,0,5.0
2,0,0,0,0,0.0
3,144,0,0,1,1.0
4,864,0,0,0,3.0
5,928,0,0,0,4.0
6,2000,0,0,2,9.0
7,2992,0,0,1,4.0
8,32,0,0,0,1.0
9,3072,0,0,2,5.0
10,4480,0,0,4,10.0
11,496,1,0,1,2.0
12,0,0,0,0,0.0
13,1488,0,0,0,10.0
14,0,0,0,0,0.0
15,256,0,0,0,2.0
16,1504,0,0,0,4.0
17,3344,0,0,1,7.0
18,960,0,0,0,2.0
19,3696,0,0,3,11.0
20,640,0,0,0,2.0
21,0,0,0,0,0.0
22,0,0,0,0,0.0
23,12048,1,250,3,4.0
24,1632,1,0,0,3.0
25,704,1,0,1,3.0
26,2816,0,0,2,2.0
27,0,0,0,0,0.0
28,1680,0,0,0,2.0
29,688,0,0,1,3.0
30,189616,12,0,10,8.0
31,20288,0,150,2,10.0
32,80,0,0,0,1.0
33,3472,0,0,0,3.0
34,1744,1,125,2,5.0
35,42688,0,0,5,1.0
36,192,0,0,0,2.0
37,464,0,0,0,1.0
38,368,0,0,0,3.0
39,64,0,0,0,1.0
40,3248,2,0,0,3.0
41,64,0,0,0,1.0
42,29024,1,250,9,5.0
43,2432,0,25,1,2.0
44,2480,0,25,6,3.0
45,6016,0,0,0,2.0
46,5376,0,0,1,7.0
47,560,0,0,1,1.0
48,0,0,0,0,0.0
49,432,0,0,1,2.0
50,32,0,0,0,1.0
51,1472,0,0,4,2.0
52,1504,0,75,2,4.0
53,1120,0,0,0,2.0
54,896,0,0,1,1.0
55,720,0,0,0,3.0
56,1920,0,0,3,8.0
57,96,0,0,0,1.0
58,7952,0,150,3,13.0
59,208,0,0,1,2.0
60,176,0,0,0,1.0
61,3792,0,50,3,2.0
62,28080,0,0,3,4.0
63,1008,0,25,1,4.0
64,0,0,0,0,0.0
65,0,0,0,0,0.0
66,1424,0,75,0,5.0
67,432,0,75,1,2.0
68,144,0,0,0,2.0
69,48,0,0,0,1.0
70,496,0,50,1,4.0
71,1552,0,0,4,4.0
72,720,0,0,1,4.0
73,5136,0,125,0,6.0
74,50992,1,500,7,24.0
75,4704,0,75,1,4.0
76,96,0,0,0,1.0
77,688,0,0,0,3.0
78,432,0,0,0,1.0
79,2832,0,0,6,3.0
80,1088,0,0,0,2.0
81,0,0,0,0,0.0
82,1440,0,25,3,8.0
83,2112,0,0,0,7.0
84,64,0,0,0,1.0
85,464,0,0,0,3.0
86,8544,1,25,2,10.0
87,3536,0,0,0,8.0
88,0,0,0,0,0.0
89,208,0,0,0,2.0
90,176,1,0,2,2.0
91,164992,12,275,21,24.0
92,288,0,0,0,1.0
93,17440,1,250,4,8.0
94,0,0,0,0,0.0
95,3552,0,150,0,3.0
96,7360,0,250,0,3.0
97,448,0,0,1,1.0
98,54128,0,500,7,14.0
99,48,0,0,0,1.0
100,704,0,0,1,3.0
101,1552,0,25,2,5.0
102,560,0,0,1,2.0
103,12480,0,0,4,6.0
104,29488,0,75,1,6.0
105,96,0,0,0,2.0
106,368,0,0,0,2.0
107,1056,0,0,0,1.0
108,352,0,0,4,2.0
109,2592,0,0,3,7.0
110,3984,0,0,2,3.0
111,240,0,0,0,1.0
112,3008,0,0,1,6.0
113,848,0,0,0,2.0
114,896,0,0,0,3.0
115,2096,0,0,6,10.0
116,336,0,0,2,2.0
117,1696,0,25,0,3.0
118,736,0,0,0,1.0
119,160,0,0,0,1.0
