sim,population,hospitals,mobilehomes,psubstations,tors
1,0,0,0,0,0.0
2,16,0,0,0,1.0
3,912,0,0,0,1.0
4,0,0,0,0,0.0
5,0,0,0,0,0.0
6,1584,0,0,0,1.0
7,192,0,0,0,1.0
8,0,0,0,0,0.0
9,0,0,0,0,0.0
10,2192,0,0,2,5.0
11,208,0,0,0,1.0
12,464,0,0,2,1.0
13,0,0,0,0,0.0
14,0,0,0,0,0.0
15,0,0,0,0,0.0
16,0,0,0,0,0.0
17,272,0,0,0,1.0
18,384,0,0,0,2.0
19,704,0,0,0,1.0
20,0,0,0,0,0.0
21,2176,0,0,0,1.0
22,1392,0,0,2,2.0
23,0,0,0,0,0.0
24,11440,3,150,4,7.0
25,1472,0,0,0,1.0
26,0,0,0,0,0.0
27,0,0,0,0,0.0
28,1248,1,0,2,4.0
29,0,0,0,0,0.0
30,848,0,0,0,1.0
31,5824,0,0,2,4.0
32,0,0,0,0,1.0
33,480,0,0,0,1.0
34,1424,0,0,0,1.0
35,0,0,0,0,0.0
36,112,0,0,0,1.0
37,368,0,0,0,1.0
38,240,0,0,0,1.0
39,400,0,25,0,1.0
40,880,0,0,0,2.0
41,336,0,0,0,2.0
42,0,0,0,0,0.0
43,336,0,0,0,1.0
44,480,0,0,0,2.0
45,0,0,0,0,0.0
46,0,0,0,0,0.0
47,0,0,0,0,0.0
48,992,0,0,0,4.0
49,0,0,0,0,0.0
50,0,0,0,0,0.0
51,0,0,0,0,0.0
52,144,0,0,0,1.0
53,0,0,0,0,0.0
54,880,0,0,0,1.0
55,496,0,0,0,2.0
56,0,0,0,0,0.0
57,2032,0,0,0,2.0
58,0,0,0,0,0.0
59,0,0,0,0,0.0
60,192,0,0,0,2.0
61,7472,0,0,1,1.0
62,656,0,0,0,3.0
63,752,0,0,1,4.0
64,384,0,0,0,1.0
65,256,0,0,0,1.0
66,0,0,0,0,0.0
67,1664,0,0,0,1.0
68,176,0,75,0,1.0
69,0,0,0,0,0.0
70,0,0,0,0,0.0
71,0,0,0,0,0.0
72,112,0,0,0,1.0
73,7936,0,50,1,2.0
74,0,0,0,0,0.0
75,21056,1,25,2,3.0
76,0,0,0,0,0.0
77,0,0,0,0,0.0
78,0,0,0,0,0.0
79,0,0,0,0,0.0
80,16,0,0,0,1.0
81,2352,1,0,9,2.0
82,0,0,0,0,0.0
83,0,0,0,0,1.0
84,784,0,0,0,2.0
85,0,0,0,0,0.0
86,4032,2,0,7,7.0
87,0,0,0,0,0.0
88,1376,0,0,0,5.0
89,64,0,0,0,1.0
90,0,0,0,0,0.0
91,64,0,0,0,1.0
92,0,0,0,0,0.0
93,0,0,0,0,0.0
94,576,0,0,0,1.0
95,0,0,0,0,0.0
96,0,0,0,0,0.0
97,1232,0,0,0,1.0
98,112,0,0,0,1.0
99,416,0,0,0,2.0
100,0,0,0,0,1.0
101,32,0,0,0,1.0
102,32,0,0,0,1.0
103,0,0,0,0,0.0
104,0,0,0,0,0.0
105,2800,0,0,1,4.0
106,0,0,0,0,0.0
107,1296,0,0,0,3.0
108,0,0,0,0,0.0
109,0,0,0,0,0.0
110,14384,1,100,7,12.0
111,9008,0,0,0,1.0
112,464,0,0,0,1.0
113,0,0,0,0,0.0
114,0,0,0,0,0.0
115,2432,0,0,0,6.0
116,0,0,0,0,0.0
117,304,1,0,1,2.0
118,2624,1,25,1,8.0
119,0,0,0,0,0.0
120,0,0,0,0,0.0
121,592,0,125,0,1.0
122,0,0,0,0,0.0
123,0,0,0,0,0.0
124,176,0,0,0,1.0
125,0,0,0,0,0.0
126,1472,0,0,0,3.0
127,1648,1,100,0,5.0
128,192,0,0,0,1.0
129,0,0,0,0,0.0
130,2672,0,0,0,9.0
131,0,0,0,0,0.0
132,0,0,0,0,0.0
133,0,0,0,0,0.0
134,448,0,0,0,2.0
135,224,0,0,0,1.0
136,0,0,0,0,0.0
137,0,0,0,0,0.0
138,0,0,0,0,0.0
139,1968,0,0,0,1.0
140,32,0,0,1,1.0
141,10240,0,25,0,3.0
142,32,0,0,0,1.0
143,0,0,0,0,0.0
144,144,0,0,0,1.0
145,0,0,0,0,0.0
146,0,0,0,0,0.0
147,0,0,0,0,0.0
148,0,0,0,0,0.0
149,1648,0,0,1,1.0
150,944,0,0,1,3.0
151,112,0,0,0,1.0
152,928,0,0,0,3.0
153,48,0,0,0,1.0
154,0,0,0,0,0.0
155,0,0,0,0,0.0
156,0,0,0,0,0.0
157,0,0,0,0,0.0
158,0,0,0,0,0.0
159,2592,0,0,0,2.0
160,0,0,0,0,0.0
161,0,0,0,0,0.0
162,0,0,0,0,0.0
163,112,0,0,0,1.0
164,0,0,0,0,0.0
165,0,0,0,0,0.0
166,0,0,0,0,0.0
167,9328,0,0,1,8.0
168,672,0,0,0,2.0
169,0,0,0,0,0.0
170,0,0,0,0,0.0
171,96,0,0,0,1.0
172,0,0,0,0,1.0
173,0,0,0,0,0.0
174,0,0,0,0,0.0
175,352,0,0,1,1.0
176,1696,0,0,1,3.0
177,16,0,0,0,1.0
178,2352,0,25,1,2.0
179,0,0,0,0,0.0
180,688,0,0,1,2.0
181,2704,1,0,1,2.0
182,128,0,0,0,1.0
183,0,0,0,0,0.0
184,0,0,0,0,0.0
185,416,0,0,1,3.0
186,0,0,0,0,0.0
187,368,0,0,0,1.0
188,1456,0,0,0,5.0
189,0,0,0,0,0.0
190,608,0,0,1,2.0
191,0,0,0,0,0.0
192,0,0,0,0,0.0
193,0,0,0,0,0.0
194,0,0,0,0,0.0
195,0,0,0,0,0.0
196,1728,0,0,0,3.0
197,1584,0,0,0,4.0
198,896,0,0,0,2.0
