population,hospitals,mobilehomes,psubstations,tors
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
1088,0,0,0,4.0
0,0,0,0,0.0
64,0,0,0,4.0
5360,1,50,6,8.0
160,0,0,0,4.0
41536,4,25,5,1.0
2736,0,0,4,11.0
7904,1,0,4,7.0
352,0,25,3,10.0
336,0,25,2,5.0
1344,0,0,1,2.0
0,0,0,0,0.0
35584,0,125,1,3.0
27104,0,0,8,17.0
3536,0,0,2,3.0
80,0,0,0,1.0
1312,0,0,1,4.0
32,0,0,0,1.0
160,0,0,0,1.0
1840,2,0,3,10.0
0,0,0,0,0.0
0,0,0,0,0.0
1872,0,0,0,2.0
4736,1,0,3,16.0
0,0,0,0,0.0
144,0,0,1,2.0
304,0,0,1,3.0
560,0,175,8,4.0
352,0,0,0,8.0
368,0,0,2,1.0
55056,4,25,6,5.0
0,0,0,0,0.0
68720,4,25,12,6.0
1904,1,0,5,5.0
0,0,0,0,1.0
816,0,0,1,1.0
112,0,0,0,2.0
208,0,0,0,1.0
80,0,0,0,3.0
80,0,0,0,1.0
16,0,0,2,2.0
336,0,0,3,4.0
864,0,25,1,8.0
4304,0,0,0,9.0
13088,0,0,2,7.0
2080,0,0,0,2.0
48,0,0,0,2.0
512,0,25,8,2.0
1120,0,0,1,7.0
64,0,0,0,2.0
320,0,0,0,8.0
624,0,0,0,4.0
432,0,0,0,2.0
26320,0,175,5,4.0
208,0,0,0,3.0
0,0,0,0,1.0
0,0,0,0,1.0
96,0,0,0,2.0
16,0,0,0,1.0
880,0,0,0,1.0
1968,0,0,0,4.0
0,0,0,0,0.0
1248,1,25,0,5.0
1424,0,25,1,6.0
1296,0,0,4,7.0
0,0,0,0,1.0
21520,2,100,6,1.0
96,0,0,0,4.0
6384,0,0,2,3.0
80,0,0,0,2.0
12080,1,225,4,2.0
1280,0,0,0,4.0
1648,0,0,0,4.0
2096,1,0,0,11.0
5504,0,0,2,4.0
80,0,0,0,1.0
0,0,0,0,0.0
38672,2,125,4,6.0
0,0,0,0,0.0
528,0,0,0,1.0
304,0,0,4,5.0
48,0,0,1,3.0
512,0,0,2,3.0
592,0,0,3,5.0
0,0,0,0,0.0
400,0,0,0,6.0
0,0,0,0,0.0
160,0,0,0,1.0
2144,0,0,3,2.0
0,0,0,0,0.0
80,0,0,0,3.0
320,0,125,1,1.0
320,0,0,0,2.0
3600,0,0,2,2.0
176,0,0,0,1.0
528,0,0,0,3.0
112,0,0,4,4.0
608,0,0,4,6.0
976,0,0,0,2.0
0,0,0,0,0.0
784,0,0,1,8.0
32,0,0,0,1.0
576,0,0,2,4.0
0,0,0,0,0.0
32,0,0,0,1.0
9264,0,0,1,5.0
496,0,0,2,4.0
46112,0,25,4,4.0
48,0,0,0,1.0
1104,0,0,2,7.0
256,0,0,0,1.0
16,0,0,0,2.0
256,0,0,0,2.0
14928,0,0,0,3.0
128,0,0,0,4.0
64,0,0,0,4.0
496,0,0,0,2.0
1328,0,25,3,4.0
