population,hospitals,mobilehomes,psubstations,tors
96,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
544,0,0,0,3.0
0,0,0,0,0.0
48,0,0,0,1.0
2544,0,25,1,2.0
3808,0,0,1,2.0
0,0,0,0,0.0
0,0,0,0,0.0
448,0,0,0,1.0
0,0,0,0,0.0
816,0,0,0,1.0
432,0,0,0,2.0
0,0,0,0,0.0
1056,0,0,0,3.0
352,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
400,0,0,1,2.0
2256,0,0,0,2.0
80,0,0,0,1.0
0,0,0,0,0.0
240,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
352,0,0,0,2.0
0,0,0,0,0.0
352,0,0,0,1.0
0,0,0,0,0.0
480,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
3408,0,0,1,4.0
32,0,0,0,1.0
0,0,0,0,0.0
128,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
256,0,0,0,1.0
8208,0,0,0,1.0
0,0,0,0,0.0
64,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
1392,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
560,0,0,0,1.0
0,0,0,0,0.0
64,0,0,0,1.0
0,0,0,0,0.0
384,0,50,1,2.0
128,1,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
6928,0,0,1,7.0
48,0,0,0,2.0
704,0,0,0,2.0
0,0,0,0,0.0
432,0,0,0,1.0
368,0,0,1,1.0
240,0,0,0,2.0
0,0,0,0,0.0
96,0,0,0,1.0
272,0,0,0,1.0
1360,0,0,0,2.0
0,0,0,0,0.0
16,0,0,0,1.0
560,0,0,0,2.0
3120,0,0,3,1.0
0,0,0,0,0.0
1408,0,0,0,1.0
17968,0,225,1,8.0
0,0,0,0,0.0
1104,0,0,1,2.0
0,0,0,0,0.0
208,1,0,0,2.0
112,0,0,0,1.0
288,0,0,0,1.0
160,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
736,0,0,3,3.0
0,0,0,0,0.0
0,0,0,0,0.0
1600,0,0,1,4.0
208,0,0,2,1.0
480,0,0,0,1.0
0,0,0,0,0.0
256,0,0,4,1.0
6608,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
832,0,0,2,2.0
768,0,0,0,1.0
464,0,0,0,1.0
272,1,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
832,0,0,1,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
128,0,0,0,1.0
96,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
368,0,0,0,2.0
384,0,0,1,2.0
0,0,0,0,0.0
0,0,0,0,0.0
208,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
5232,0,0,1,6.0
0,0,0,0,0.0
688,0,0,0,3.0
608,0,0,0,1.0
32,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
48,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
208,0,0,0,1.0
0,0,0,0,0.0
448,0,25,0,2.0
0,0,0,0,0.0
48,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
128,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
304,0,0,1,1.0
0,0,0,0,0.0
0,0,0,0,0.0
192,0,0,0,2.0
704,0,0,0,1.0
2528,0,100,1,9.0
0,0,0,0,0.0
800,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
288,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
608,0,25,0,1.0
0,0,0,0,0.0
736,0,0,0,1.0
15904,0,75,0,2.0
2816,0,75,1,2.0
0,0,0,0,0.0
400,0,0,0,2.0
3840,2,0,1,1.0
272,0,0,0,2.0
400,0,0,1,1.0
0,0,0,0,0.0
0,0,0,0,0.0
528,0,0,1,1.0
352,0,0,0,1.0
48,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
752,0,0,0,2.0
672,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
48,0,0,0,1.0
976,0,0,0,1.0
0,0,0,0,0.0
128,0,0,0,1.0
1552,0,0,0,2.0
128,0,0,0,1.0
576,0,0,0,2.0
4208,0,0,2,5.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
224,0,0,0,1.0
0,0,0,0,0.0
1168,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
3440,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
288,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
608,0,0,0,1.0
0,0,0,0,0.0
576,0,0,0,2.0
160,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
336,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
928,0,0,0,1.0
0,0,0,0,0.0
800,0,0,0,2.0
64,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
400,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
2848,0,0,0,7.0
176,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
480,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
240,0,0,0,1.0
96,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
400,0,0,0,1.0
1504,0,0,1,3.0
0,0,0,0,0.0
448,0,0,0,1.0
1312,0,175,3,2.0
0,0,0,0,0.0
0,0,0,0,0.0
64,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
352,1,100,0,1.0
0,0,0,0,0.0
96,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
320,0,0,0,1.0
0,0,0,0,0.0
432,0,0,0,1.0
0,0,0,0,0.0
576,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
48,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
1104,0,0,0,1.0
0,0,0,0,0.0
208,0,0,0,1.0
256,0,0,0,1.0
0,0,0,0,0.0
544,0,0,0,1.0
1920,1,0,1,3.0
224,0,0,0,1.0
1024,0,0,0,3.0
48,0,0,0,1.0
80,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
992,0,0,1,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
240,0,0,0,1.0
0,0,0,0,0.0
2384,0,75,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
6544,0,150,2,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
832,0,0,0,2.0
0,0,0,0,0.0
816,0,0,1,1.0
0,0,0,0,0.0
64,0,0,0,1.0
0,0,0,0,0.0
592,0,0,0,3.0
0,0,0,0,0.0
656,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
2064,0,75,1,1.0
0,0,0,0,0.0
384,0,0,0,1.0
400,0,0,0,1.0
0,0,0,0,0.0
384,0,0,0,1.0
1200,0,0,1,3.0
720,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
48,0,0,0,1.0
544,0,0,0,2.0
3296,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
48,0,0,0,1.0
2816,0,0,1,2.0
0,0,0,0,0.0
1488,1,0,3,1.0
0,0,0,0,0.0
736,0,0,0,2.0
0,0,0,0,0.0
208,0,0,1,1.0
0,0,0,0,0.0
0,0,0,0,0.0
1504,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
208,0,0,0,1.0
2384,0,0,0,5.0
304,0,0,0,1.0
624,0,250,2,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
2224,0,0,3,8.0
96,0,0,0,1.0
0,0,0,0,0.0
304,0,0,0,2.0
0,0,0,0,0.0
2528,0,0,1,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
832,0,0,0,2.0
16,0,0,0,1.0
0,0,0,0,0.0
512,0,0,2,1.0
480,0,0,1,4.0
0,0,0,0,0.0
0,0,0,0,0.0
912,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
576,0,25,0,2.0
2208,0,0,0,4.0
0,0,0,0,0.0
432,0,0,0,2.0
752,0,0,0,2.0
0,0,0,0,0.0
80,0,0,0,1.0
0,0,0,0,0.0
288,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
48,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
176,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
1120,0,0,1,4.0
0,0,0,0,0.0
1328,0,0,1,2.0
0,0,0,0,0.0
0,0,0,0,0.0
96,0,0,0,1.0
0,0,0,0,0.0
160,0,0,0,1.0
0,0,0,0,0.0
320,0,0,0,2.0
0,0,0,0,0.0
960,0,0,3,3.0
0,0,0,0,0.0
0,0,0,0,0.0
48,0,0,1,1.0
0,0,0,0,0.0
0,0,0,0,0.0
3184,0,25,14,3.0
4688,0,0,2,2.0
0,0,0,0,0.0
14240,1,375,2,3.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
320,0,0,1,1.0
64,0,0,0,1.0
320,0,0,0,1.0
0,0,0,0,0.0
272,0,0,0,1.0
352,0,0,0,1.0
0,0,0,0,0.0
496,0,0,0,4.0
16,0,0,0,1.0
16,0,0,0,1.0
160,0,0,0,1.0
0,0,0,0,0.0
1664,0,0,1,1.0
0,0,0,0,0.0
48,0,0,0,2.0
1168,1,0,1,2.0
848,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
272,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
1136,0,0,0,2.0
144,0,0,0,1.0
512,0,75,3,1.0
0,0,0,0,0.0
2880,0,0,0,2.0
0,0,0,0,0.0
976,0,0,0,4.0
0,0,0,0,0.0
160,0,0,0,3.0
0,0,0,0,0.0
144,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
352,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
1440,0,0,0,1.0
960,0,0,0,4.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
16,0,0,0,1.0
0,0,0,0,0.0
576,0,0,0,1.0
0,0,0,0,0.0
640,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
3056,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
13104,0,0,0,2.0
16,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
112,0,0,0,1.0
608,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
416,0,0,0,1.0
560,0,0,0,1.0
2640,0,0,1,3.0
80,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
960,0,25,4,1.0
0,0,0,0,0.0
224,0,0,0,2.0
352,0,0,0,2.0
0,0,0,0,0.0
224,0,0,0,1.0
496,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
2912,0,0,1,1.0
1120,0,0,0,2.0
624,0,0,0,1.0
320,0,0,0,3.0
3232,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
160,0,0,0,1.0
336,0,0,0,1.0
1168,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
672,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
2128,0,0,0,2.0
224,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
1168,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
288,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
480,0,0,0,3.0
976,0,0,0,1.0
0,0,0,0,0.0
960,1,0,1,1.0
560,0,0,0,1.0
1008,0,25,1,4.0
0,0,0,0,0.0
0,0,0,0,0.0
576,0,0,0,2.0
1872,0,0,0,2.0
272,0,0,0,2.0
0,0,0,0,0.0
1040,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
1472,0,0,2,5.0
1008,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
176,0,0,0,1.0
0,0,0,0,0.0
48,0,0,1,1.0
0,0,0,0,0.0
400,0,0,0,2.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
7344,0,0,0,6.0
1056,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
352,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
512,1,0,0,2.0
144,0,0,0,1.0
304,0,0,0,1.0
0,0,0,0,0.0
448,0,0,0,2.0
576,0,0,0,1.0
128,0,0,3,1.0
0,0,0,0,0.0
160,0,0,0,1.0
64,0,0,1,1.0
0,0,0,0,0.0
16,0,0,0,1.0
336,0,0,0,1.0
0,0,0,0,0.0
128,0,0,0,1.0
464,0,0,0,1.0
0,0,0,0,0.0
704,0,0,0,1.0
592,0,0,0,1.0
416,0,0,0,1.0
2688,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
1168,1,175,1,3.0
432,0,0,0,2.0
352,0,0,0,1.0
0,0,0,0,0.0
1632,0,0,5,2.0
448,0,0,0,1.0
192,0,0,0,1.0
608,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
528,0,0,0,1.0
752,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
560,0,0,1,2.0
80,0,0,0,1.0
4928,0,0,0,3.0
48,0,0,0,1.0
0,0,0,0,0.0
912,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
192,0,0,0,1.0
96,0,0,0,1.0
0,0,0,0,0.0
1328,0,0,0,1.0
1088,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
576,0,0,0,1.0
432,0,0,0,1.0
144,0,0,0,2.0
0,0,0,0,0.0
1376,0,0,0,2.0
3680,0,0,11,2.0
0,0,0,0,0.0
0,0,0,0,0.0
80,0,0,0,1.0
384,0,0,0,1.0
928,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
1440,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
592,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
1440,0,0,0,2.0
0,0,0,0,0.0
2000,0,0,1,4.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
1328,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
3168,0,0,0,1.0
2000,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
13456,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
208,0,0,0,1.0
400,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
80,0,0,0,2.0
0,0,0,0,0.0
80,0,0,0,2.0
80,0,0,0,1.0
0,0,0,0,0.0
144,0,25,2,1.0
80,0,0,0,1.0
0,0,0,0,0.0
2096,0,0,0,3.0
432,0,0,1,1.0
272,0,0,1,1.0
0,0,0,0,0.0
0,0,0,0,0.0
272,0,75,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
304,0,0,0,1.0
160,0,0,0,1.0
208,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
224,0,0,0,1.0
0,0,0,0,0.0
2176,0,0,2,3.0
0,0,0,0,0.0
528,0,250,2,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
240,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
4944,0,25,0,1.0
