population,hospitals,mobilehomes,psubstations,tors
0,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
48,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,2.0
16,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,2.0
0,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,1.0
32,0,0,1,2.0
0,0,0,0,1.0
0,0,0,0,0.0
32,0,0,0,2.0
192,0,0,1,1.0
0,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
32,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,3.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,2.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
16,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,0.0
16,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,1.0
16,0,0,0,3.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,3.0
0,0,0,0,0.0
48,0,0,0,1.0
0,0,0,0,0.0
16,0,0,0,3.0
0,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
16,0,0,1,2.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
5504,0,225,3,1.0
0,0,0,0,0.0
0,0,0,0,0.0
144,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,2.0
0,0,0,0,1.0
160,0,0,0,2.0
208,0,0,0,3.0
0,0,0,1,1.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,1.0
32,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,2.0
0,0,0,0,2.0
144,0,0,0,2.0
0,0,0,0,2.0
1616,2,100,8,1.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,1.0
16,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
64,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
2672,0,0,1,1.0
0,0,0,0,1.0
0,0,0,0,1.0
208,0,0,3,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,2.0
0,0,0,0,2.0
0,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,1.0
16,0,0,0,5.0
0,0,0,0,0.0
0,0,0,0,2.0
0,0,0,0,2.0
32,0,0,0,1.0
0,0,0,0,1.0
576,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,2.0
416,0,0,0,1.0
0,0,0,0,0.0
32,0,0,0,3.0
0,0,0,0,1.0
112,0,0,1,1.0
0,0,0,0,3.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,1.0
240,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,1.0
1424,0,0,0,1.0
560,0,0,0,1.0
16,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,2.0
0,0,0,0,1.0
0,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,2.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,2.0
1776,0,0,0,1.0
16,0,0,0,1.0
0,0,0,0,0.0
16,0,0,0,3.0
0,0,0,0,1.0
16,0,0,0,2.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
5456,0,125,1,3.0
0,0,0,0,1.0
0,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
5376,0,100,3,2.0
112,0,0,0,2.0
0,0,0,0,2.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,2.0
16,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
64,1,200,7,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
240,0,0,0,2.0
1648,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,2.0
688,0,0,0,3.0
96,0,0,1,3.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
16,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
656,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,2.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
16,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,2.0
32,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,2.0
0,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
384,0,0,0,4.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
144,0,0,0,2.0
48,0,0,0,3.0
0,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
1248,0,0,0,2.0
304,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
16,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
128,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,2.0
32,0,0,0,2.0
16,0,0,0,2.0
0,0,0,0,1.0
0,0,0,0,2.0
0,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,1.0
16,0,0,0,1.0
32,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
736,1,0,1,1.0
0,0,0,0,1.0
0,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,2.0
64,0,0,0,1.0
0,0,0,0,0.0
624,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,0.0
16,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
288,0,0,0,3.0
0,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,1,0,1,4.0
32,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
208,0,0,1,4.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
272,1,0,3,3.0
0,0,0,0,0.0
160,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
304,0,0,2,3.0
0,0,0,0,0.0
80,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
16,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
112,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
32,0,0,0,3.0
0,0,0,0,1.0
0,0,0,0,4.0
80,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,1.0
5888,0,0,1,1.0
1056,0,0,0,2.0
0,0,0,0,0.0
32,0,0,0,2.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
32,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,2.0
112,0,0,1,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
96,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
32,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
32,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,1,3.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,1.0
16,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,3.0
0,0,0,0,0.0
14448,0,300,1,4.0
0,0,0,0,0.0
0,0,0,0,0.0
80,0,0,0,1.0
64,0,0,0,1.0
0,0,0,0,0.0
16,0,0,0,1.0
0,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
208,0,0,0,2.0
0,0,0,0,1.0
0,0,0,0,1.0
0,0,0,0,1.0
144,0,0,1,2.0
0,0,0,0,3.0
0,0,0,0,1.0
32,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,1.0
2032,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,0.0
0,0,0,0,1.0
