population,hospitals,mobilehomes,psubstations,tors
5968,0,25,10,5.0
17440,1,200,10,5.0
656,0,0,0,2.0
1888,1,0,0,2.0
1216,4,75,3,4.0
1440,1,150,4,2.0
3280,0,0,1,4.0
1120,0,0,2,5.0
15104,2,225,9,9.0
3712,2,50,5,2.0
14928,0,0,2,8.0
144,0,0,0,3.0
31536,2,250,10,5.0
55728,0,250,15,4.0
30512,1,0,7,9.0
3968,1,0,5,6.0
96,0,0,0,1.0
112,0,0,0,1.0
0,0,0,0,0.0
30080,1,0,9,7.0
2976,0,0,0,9.0
4160,0,75,1,6.0
12128,1,150,8,5.0
432,0,0,0,2.0
9904,0,150,3,15.0
5664,0,75,5,12.0
4912,0,0,1,5.0
2128,1,0,0,2.0
9696,0,50,6,7.0
21808,0,225,9,10.0
2176,0,0,0,8.0
4064,0,175,0,11.0
1504,1,25,3,5.0
12112,0,275,12,8.0
7456,0,0,5,5.0
4896,0,175,0,8.0
6560,0,50,0,4.0
1376,0,0,1,4.0
640,0,0,0,1.0
2016,0,0,2,7.0
22720,0,0,7,7.0
16848,0,100,1,10.0
3792,0,25,0,3.0
1216,0,0,1,5.0
2400,0,0,2,2.0
2944,0,0,4,8.0
5008,0,0,1,3.0
1856,1,50,3,6.0
15744,3,125,1,4.0
208,0,0,1,3.0
1408,0,0,0,6.0
2192,0,0,0,4.0
17776,0,375,9,9.0
560,0,0,1,4.0
3040,0,0,4,5.0
61040,4,500,24,4.0
2736,0,25,0,5.0
16944,1,0,7,7.0
1104,0,25,1,5.0
5040,0,0,0,7.0
10064,1,150,12,4.0
15584,2,125,22,22.0
3088,0,0,3,5.0
512,1,0,1,4.0
30288,0,0,8,15.0
36480,0,225,8,7.0
1152,0,0,0,1.0
5984,0,50,7,12.0
2288,0,0,0,4.0
1296,0,0,0,5.0
3328,0,0,1,1.0
8816,1,75,5,5.0
2704,0,0,2,5.0
2656,0,25,3,5.0
1552,1,0,4,6.0
3520,0,0,1,10.0
3008,0,0,0,9.0
7216,0,0,1,5.0
4048,0,25,1,3.0
1328,0,0,0,2.0
8288,2,25,7,9.0
3888,0,0,9,6.0
1104,0,0,3,5.0
6368,0,100,5,3.0
2256,0,0,3,7.0
27904,0,25,1,5.0
25856,1,275,5,28.0
43280,3,125,6,7.0
